"E00","E01","E10","E11","phi","attribute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.33337095,-3.4615187e-09,-3.4615187e-09,0.33331395,0.0087814969,1,1,0,0,0.5,0
0.33337075,-3.4385191e-09,-3.4385191e-09,0.33331405,0.018008485,1,1,0.001,0.001,0.5,0
0.33337055,-3.4155195e-09,-3.4155196e-09,0.33331415,0.027235474,1,1,0.0020000001,0.0020000001,0.5,0
0.33337035,-3.39252e-09,-3.39252e-09,0.33331425,0.036462461,1,1,0.003,0.003,0.5,0
0.33337014,-3.3695204e-09,-3.3695204e-09,0.33331436,0.045689451,1,1,0.0040000002,0.0040000002,0.5,0
0.33336994,-3.3465208e-09,-3.3465209e-09,0.33331446,0.054916436,1,1,0.0049999999,0.0049999999,0.5,0
0.33336974,-3.3235213e-09,-3.3235213e-09,0.33331456,0.064143426,1,1,0.0060000001,0.0060000001,0.5,0
0.33336954,-3.3005217e-09,-3.3005217e-09,0.33331466,0.073370415,1,1,0.0070000002,0.0070000002,0.5,0
0.33336934,-3.2775221e-09,-3.2775222e-09,0.33331476,0.082597405,1,1,0.0080000004,0.0080000004,0.5,0
0.33336913,-3.2545226e-09,-3.2545226e-09,0.33331486,0.091824386,1,1,0.0089999996,0.0089999996,0.5,0
0.33336893,-3.231523e-09,-3.231523e-09,0.33331496,0.10105138,1,1,0.0099999998,0.0099999998,0.5,0
0.33336873,-3.2085234e-09,-3.2085235e-09,0.33331506,0.11027837,1,1,0.011,0.011,0.5,0
0.33336853,-3.1855239e-09,-3.1855239e-09,0.33331516,0.11950535,1,1,0.012,0.012,0.5,0
0.33336833,-3.1625243e-09,-3.1625243e-09,0.33331526,0.12873234,1,1,0.013,0.013,0.5,0
0.33336812,-3.1395247e-09,-3.1395248e-09,0.33331536,0.13795933,1,1,0.014,0.014,0.5,0
0.33336792,-3.1165252e-09,-3.1165252e-09,0.33331546,0.14718631,1,1,0.015,0.015,0.5,0
0.33336772,-3.0935256e-09,-3.0935256e-09,0.33331556,0.15641331,1,1,0.016000001,0.016000001,0.5,0
0.33336752,-3.070526e-09,-3.0705261e-09,0.33331566,0.1656403,1,1,0.017000001,0.017000001,0.5,0
0.33336732,-3.0475265e-09,-3.0475265e-09,0.33331576,0.17486728,1,1,0.017999999,0.017999999,0.5,0
0.33336711,-3.0245269e-09,-3.024527e-09,0.33331586,0.18409426,1,1,0.018999999,0.018999999,0.5,0
0.33336691,-3.0015274e-09,-3.0015274e-09,0.33331596,0.19332125,1,1,0.02,0.02,0.5,0
0.33336671,-2.9785278e-09,-2.9785278e-09,0.33331606,0.20254824,1,1,0.021,0.021,0.5,0
0.33336651,-2.9555282e-09,-2.9555282e-09,0.33331616,0.21177523,1,1,0.022,0.022,0.5,0
0.33336631,-2.9325287e-09,-2.9325287e-09,0.33331626,0.22100222,1,1,0.023,0.023,0.5,0
0.3333661,-2.9095291e-09,-2.9095291e-09,0.33331636,0.23022921,1,1,0.024,0.024,0.5,0
0.3333659,-2.8865295e-09,-2.8865295e-09,0.33331647,0.2394562,1,1,0.025,0.025,0.5,0
0.3333657,-2.8635299e-09,-2.86353e-09,0.33331657,0.24868319,1,1,0.026000001,0.026000001,0.5,0
0.3333655,-2.8405304e-09,-2.8405304e-09,0.33331667,0.25791018,1,1,0.027000001,0.027000001,0.5,0
0.3333653,-2.8175308e-09,-2.8175308e-09,0.33331677,0.26713717,1,1,0.028000001,0.028000001,0.5,0
0.33336509,-2.7945313e-09,-2.7945313e-09,0.33331687,0.27636414,1,1,0.028999999,0.028999999,0.5,0
0.33336489,-2.7715317e-09,-2.7715317e-09,0.33331697,0.28559113,1,1,0.029999999,0.029999999,0.5,0
0.33336469,-2.7485321e-09,-2.7485322e-09,0.33331707,0.29481812,1,1,0.030999999,0.030999999,0.5,0
0.33336449,-2.7255325e-09,-2.7255325e-09,0.33331717,0.30404513,1,1,0.032000002,0.032000002,0.5,0
0.33336429,-2.702533e-09,-2.702533e-09,0.33331727,0.3132721,1,1,0.033,0.033,0.5,0
0.33336408,-2.6795334e-09,-2.6795334e-09,0.33331737,0.32249911,1,1,0.034000002,0.034000002,0.5,0
0.33336388,-2.6565339e-09,-2.6565339e-09,0.33331747,0.33172608,1,1,0.035,0.035,0.5,0
0.33336368,-2.6335343e-09,-2.6335344e-09,0.33331757,0.34095305,1,1,0.035999998,0.035999998,0.5,0
0.33336348,-2.6105347e-09,-2.6105347e-09,0.33331767,0.35018006,1,1,0.037,0.037,0.5,0
0.33336328,-2.5875352e-09,-2.5875352e-09,0.33331777,0.35940703,1,1,0.037999999,0.037999999,0.5,0
0.33336307,-2.5645356e-09,-2.5645356e-09,0.33331787,0.36863404,1,1,0.039000001,0.039000001,0.5,0
0.33336287,-2.541536e-09,-2.5415361e-09,0.33331797,0.37786101,1,1,0.039999999,0.039999999,0.5,0
0.33336267,-2.5185364e-09,-2.5185365e-09,0.33331807,0.38708802,1,1,0.041000001,0.041000001,0.5,0
0.33336247,-2.4955369e-09,-2.4955369e-09,0.33331817,0.39631499,1,1,0.041999999,0.041999999,0.5,0
0.33336227,-2.4725373e-09,-2.4725373e-09,0.33331827,0.405542,1,1,0.043000001,0.043000001,0.5,0
0.33336206,-2.4495378e-09,-2.4495378e-09,0.33331837,0.41476897,1,1,0.044,0.044,0.5,0
0.33336186,-2.4265382e-09,-2.4265382e-09,0.33331847,0.42399598,1,1,0.045000002,0.045000002,0.5,0
0.33336166,-2.4035386e-09,-2.4035387e-09,0.33331857,0.43322295,1,1,0.046,0.046,0.5,0
0.33336146,-2.3805391e-09,-2.3805391e-09,0.33331868,0.44244992,1,1,0.046999998,0.046999998,0.5,0
0.33336126,-2.3575395e-09,-2.3575395e-09,0.33331878,0.45167693,1,1,0.048,0.048,0.5,0
0.33336106,-2.33454e-09,-2.33454e-09,0.33331888,0.4609039,1,1,0.048999999,0.048999999,0.5,0
0.33336085,-2.3115404e-09,-2.3115404e-09,0.33331898,0.47013091,1,1,0.050000001,0.050000001,0.5,0
0.33336065,-2.2885408e-09,-2.2885408e-09,0.33331908,0.47935788,1,1,0.050999999,0.050999999,0.5,0
0.33336045,-2.2655412e-09,-2.2655412e-09,0.33331918,0.48858489,1,1,0.052000001,0.052000001,0.5,0
0.33336025,-2.2425417e-09,-2.2425417e-09,0.33331928,0.49781186,1,1,0.052999999,0.052999999,0.5,0
0.33336005,-2.2195421e-09,-2.2195421e-09,0.33331938,0.50703887,1,1,0.054000001,0.054000001,0.5,0
