"E00","E01","E10","E11","phi","attribute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.33333219,3.796537e-06,3.796537e-06,0.33339299,0.0040167186,1,1,0,3.5,0,0
0.3333323,3.7474929e-06,3.7474929e-06,0.33339217,0.059333154,1,1,0.003,3.5,0.003,0
0.3333324,3.6984637e-06,3.6984637e-06,0.33339135,0.11464877,1,1,0.0060000001,3.5,0.0060000001,0
0.33333251,3.6494494e-06,3.6494494e-06,0.33339053,0.16996357,1,1,0.0089999996,3.5,0.0089999996,0
0.33333261,3.6004498e-06,3.6004498e-06,0.33338971,0.22527756,1,1,0.012,3.5,0.012,0
0.33333272,3.5514651e-06,3.5514651e-06,0.33338889,0.28059073,1,1,0.015,3.5,0.015,0
0.33333282,3.5024951e-06,3.5024951e-06,0.33338807,0.33590309,1,1,0.017999999,3.5,0.017999999,0
0.33333293,3.4535399e-06,3.4535399e-06,0.33338726,0.39121465,1,1,0.021,3.5,0.021,0
0.33333303,3.4045994e-06,3.4045994e-06,0.33338644,0.4465254,1,1,0.024,3.5,0.024,0
0.33333313,3.3556737e-06,3.3556737e-06,0.33338563,0.50183534,1,1,0.027000001,3.5,0.027000001,0
0.33333324,3.3067626e-06,3.3067626e-06,0.33338482,0.55714444,1,1,0.029999999,3.5,0.029999999,0
0.33333334,3.2578663e-06,3.2578663e-06,0.33338401,0.61245277,1,1,0.033,3.5,0.033,0
0.33333345,3.2089846e-06,3.2089846e-06,0.3333832,0.66776026,1,1,0.035999998,3.5,0.035999998,0
0.33333355,3.1601174e-06,3.1601174e-06,0.33338239,0.72306702,1,1,0.039000001,3.5,0.039000001,0
0.33333366,3.111265e-06,3.111265e-06,0.33338158,0.7783729,1,1,0.041999999,3.5,0.041999999,0
0.33333376,3.0624271e-06,3.0624271e-06,0.33338077,0.83367805,1,1,0.045000002,3.5,0.045000002,0
0.33333386,3.0136038e-06,3.0136038e-06,0.33337997,0.88898233,1,1,0.048,3.5,0.048,0
