"E00","E01","E10","E11","phi","attribute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.33333219,3.796549e-06,3.796549e-06,0.33339299,0.0040167087,1,1,0,3.5,0,0
0.3333323,3.7475048e-06,3.7475048e-06,0.33339217,0.059333145,1,1,0.003,3.5,0.003,0
0.3333324,3.6984755e-06,3.6984755e-06,0.33339135,0.11464876,1,1,0.0060000001,3.5,0.0060000001,0
0.33333251,3.649461e-06,3.649461e-06,0.33339053,0.16996356,1,1,0.0089999996,3.5,0.0089999996,0
0.33333261,3.6004613e-06,3.6004613e-06,0.33338971,0.22527756,1,1,0.012,3.5,0.012,0
0.33333272,3.5514765e-06,3.5514765e-06,0.33338889,0.28059072,1,1,0.015,3.5,0.015,0
0.33333282,3.5025064e-06,3.5025064e-06,0.33338807,0.33590308,1,1,0.017999999,3.5,0.017999999,0
0.33333293,3.4535511e-06,3.4535511e-06,0.33338726,0.39121464,1,1,0.021,3.5,0.021,0
0.33333303,3.4046105e-06,3.4046105e-06,0.33338644,0.44652539,1,1,0.024,3.5,0.024,0
0.33333313,3.3556846e-06,3.3556846e-06,0.33338563,0.50183534,1,1,0.027000001,3.5,0.027000001,0
0.33333324,3.3067735e-06,3.3067735e-06,0.33338482,0.55714444,1,1,0.029999999,3.5,0.029999999,0
0.33333334,3.257877e-06,3.257877e-06,0.33338401,0.61245277,1,1,0.033,3.5,0.033,0
0.33333345,3.2089952e-06,3.2089952e-06,0.3333832,0.66776026,1,1,0.035999998,3.5,0.035999998,0
0.33333355,3.160128e-06,3.160128e-06,0.33338239,0.72306701,1,1,0.039000001,3.5,0.039000001,0
0.33333366,3.1112754e-06,3.1112754e-06,0.33338158,0.7783729,1,1,0.041999999,3.5,0.041999999,0
0.33333376,3.0624374e-06,3.0624374e-06,0.33338077,0.83367805,1,1,0.045000002,3.5,0.045000002,0
0.33333386,3.013614e-06,3.013614e-06,0.33337997,0.88898233,1,1,0.048,3.5,0.048,0
0.33333397,2.9648051e-06,2.9648051e-06,0.33337916,0.94428581,1,1,0.050999999,3.5,0.050999999,0
0.33333407,2.9160107e-06,2.9160107e-06,0.33337836,0.99958856,1,1,0.054000001,3.5,0.054000001,0
0.33333418,2.8672309e-06,2.8672309e-06,0.33337756,1.0548904,1,1,0.057,3.5,0.057,0
0.33333428,2.8184656e-06,2.8184656e-06,0.33337676,1.1101915,1,1,0.059999999,3.5,0.059999999,0
0.33333438,2.7697147e-06,2.7697147e-06,0.33337596,1.1654919,1,1,0.063000001,3.5,0.063000001,0
0.33333449,2.7209783e-06,2.7209783e-06,0.33337516,1.2207914,1,1,0.066,3.5,0.066,0
0.33333459,2.6722563e-06,2.6722563e-06,0.33337436,1.2760901,1,1,0.068999998,3.5,0.068999998,0
0.3333347,2.6235487e-06,2.6235487e-06,0.33337357,1.331388,1,1,0.071999997,3.5,0.071999997,0
0.3333348,2.5748554e-06,2.5748554e-06,0.33337277,1.3866853,1,1,0.075000003,3.5,0.075000003,0
0.3333349,2.5261765e-06,2.5261765e-06,0.33337198,1.4419816,1,1,0.078000002,3.5,0.078000002,0
0.33333501,2.4775121e-06,2.4775121e-06,0.33337119,1.4972772,1,1,0.081,3.5,0.081,0
0.33333511,2.4288619e-06,2.4288619e-06,0.3333704,1.5525719,1,1,0.083999999,3.5,0.083999999,0
0.33333522,2.3802261e-06,2.3802261e-06,0.33336961,1.6078659,1,1,0.086999997,3.5,0.086999997,0
0.33333532,2.3316044e-06,2.3316044e-06,0.33336882,1.6631592,1,1,0.090000004,3.5,0.090000004,0
0.33333542,2.2829971e-06,2.2829971e-06,0.33336803,1.7184517,1,1,0.093000002,3.5,0.093000002,0
0.33333553,2.234404e-06,2.234404e-06,0.33336724,1.7737433,1,1,0.096000001,3.5,0.096000001,0
0.33333563,2.1858252e-06,2.1858252e-06,0.33336646,1.8290341,1,1,0.098999999,3.5,0.098999999,0
0.33333574,2.1372605e-06,2.1372605e-06,0.33336567,1.8843242,1,1,0.102,3.5,0.102,0
0.33333584,2.0887101e-06,2.0887101e-06,0.33336489,1.9396135,1,1,0.105,3.5,0.105,0
0.33333594,2.0401736e-06,2.0401736e-06,0.33336411,1.9949021,1,1,0.108,3.5,0.108,0
0.33333605,1.9916515e-06,1.9916515e-06,0.33336332,2.0501898,1,1,0.111,3.5,0.111,0
0.33333615,1.9431435e-06,1.9431435e-06,0.33336254,2.1054768,1,1,0.114,3.5,0.114,0
0.33333625,1.8946496e-06,1.8946496e-06,0.33336177,2.160763,1,1,0.117,3.5,0.117,0
0.33333636,1.8461697e-06,1.8461697e-06,0.33336099,2.2160484,1,1,0.12,3.5,0.12,0
0.33333646,1.7977038e-06,1.7977038e-06,0.33336021,2.2713331,1,1,0.123,3.5,0.123,0
0.33333657,1.7492521e-06,1.7492521e-06,0.33335944,2.326617,1,1,0.126,3.5,0.126,0
0.33333667,1.7008145e-06,1.7008145e-06,0.33335866,2.3819,1,1,0.12899999,3.5,0.12899999,0
0.33333677,1.6523907e-06,1.6523907e-06,0.33335789,2.4371824,1,1,0.132,3.5,0.132,0
0.33333688,1.6039809e-06,1.6039809e-06,0.33335712,2.4924641,1,1,0.13500001,3.5,0.13500001,0
0.33333698,1.5555852e-06,1.5555852e-06,0.33335634,2.5477448,1,1,0.138,3.5,0.138,0
0.33333708,1.5072033e-06,1.5072033e-06,0.33335557,2.6030249,1,1,0.141,3.5,0.141,0
0.33333719,1.4588355e-06,1.4588355e-06,0.33335481,2.658304,1,1,0.14399999,3.5,0.14399999,0
0.33333729,1.4104815e-06,1.4104815e-06,0.33335404,2.7135827,1,1,0.147,3.5,0.147,0
0.33333739,1.3621412e-06,1.3621412e-06,0.33335327,2.7688605,1,1,0.15000001,3.5,0.15000001,0
0.3333375,1.3138151e-06,1.3138151e-06,0.3333525,2.8241373,1,1,0.153,3.5,0.153,0
0.3333376,1.2655027e-06,1.2655027e-06,0.33335174,2.8794137,1,1,0.156,3.5,0.156,0
0.3333377,1.2172042e-06,1.2172042e-06,0.33335098,2.934689,1,1,0.15899999,3.5,0.15899999,0
0.33333781,1.1689194e-06,1.1689194e-06,0.33335021,2.9899638,1,1,0.162,3.5,0.162,0
0.33333791,1.1206483e-06,1.1206483e-06,0.33334945,3.0452379,1,1,0.16500001,3.5,0.16500001,0
0.33333801,1.0723913e-06,1.0723913e-06,0.33334869,3.1005109,1,1,0.168,3.5,0.168,0
0.33333812,1.0241477e-06,1.0241477e-06,0.33334793,3.1557835,1,1,0.171,3.5,0.171,0
0.33333822,9.7591817e-07,9.7591817e-07,0.33334718,3.211055,1,1,0.17399999,3.5,0.17399999,0
0.33333832,9.2770207e-07,9.2770207e-07,0.33334642,3.266326,1,1,0.177,3.5,0.177,0
0.33333843,8.7949967e-07,8.7949967e-07,0.33334566,3.3215963,1,1,0.18000001,3.5,0.18000001,0
0.33335251,-5.5184985e-06,-5.5184985e-06,0.33331565,3.3846737,1,1,0.183,3.5,0.183,0
0.33335203,-5.4511198e-06,-5.4511198e-06,0.333316,3.4246598,1,1,0.186,3.5,0.186,0
0.33335156,-5.3825522e-06,-5.3825522e-06,0.33331635,3.4646515,1,1,0.189,3.5,0.189,0
0.33335109,-5.3128365e-06,-5.3128365e-06,0.3333167,3.5046489,1,1,0.192,3.5,0.192,0
0.33335062,-5.2420126e-06,-5.2420126e-06,0.33331706,3.5446516,1,1,0.19499999,3.5,0.19499999,0
0.33335016,-5.1701171e-06,-5.1701171e-06,0.33331741,3.5846596,1,1,0.198,3.5,0.198,0
0.33334971,-5.0971858e-06,-5.0971858e-06,0.33331776,3.6246726,1,1,0.20100001,3.5,0.20100001,0
0.33334926,-5.0232529e-06,-5.0232529e-06,0.3333181,3.6646903,1,1,0.204,3.5,0.204,0
0.33334882,-4.9483497e-06,-4.9483497e-06,0.33331845,3.7047129,1,1,0.207,3.5,0.207,0
0.33334838,-4.8725075e-06,-4.8725075e-06,0.3333188,3.7447398,1,1,0.20999999,3.5,0.20999999,0
0.33334795,-4.795755e-06,-4.795755e-06,0.33331915,3.7847714,1,1,0.213,3.5,0.213,0
0.33334752,-4.7181202e-06,-4.7181202e-06,0.3333195,3.8248072,1,1,0.21600001,3.5,0.21600001,0
0.33334709,-4.6396303e-06,-4.6396303e-06,0.33331985,3.864847,1,1,0.219,3.5,0.219,0
0.33334667,-4.56031e-06,-4.56031e-06,0.3333202,3.904891,1,1,0.222,3.5,0.222,0
0.33334626,-4.4801843e-06,-4.4801843e-06,0.33332055,3.9449388,1,1,0.22499999,3.5,0.22499999,0
0.33334585,-4.3992759e-06,-4.3992759e-06,0.33332089,3.9849905,1,1,0.228,3.5,0.228,0
0.33334544,-4.3176075e-06,-4.3176075e-06,0.33332124,4.0250459,1,1,0.23100001,3.5,0.23100001,0
0.33334503,-4.2352009e-06,-4.2352009e-06,0.33332159,4.0651046,1,1,0.234,3.5,0.234,0
0.33334463,-4.1520758e-06,-4.1520758e-06,0.33332194,4.1051671,1,1,0.237,3.5,0.237,0
0.33334424,-4.0682528e-06,-4.0682528e-06,0.33332228,4.1452327,1,1,0.23999999,3.5,0.23999999,0
0.33334385,-3.98375e-06,-3.98375e-06,0.33332263,4.1853019,1,1,0.243,3.5,0.243,0
0.33334346,-3.898586e-06,-3.898586e-06,0.33332298,4.2253742,1,1,0.24600001,3.5,0.24600001,0
0.33334307,-3.8127786e-06,-3.8127786e-06,0.33332332,4.2654495,1,1,0.249,3.5,0.249,0
0.33334269,-3.7263439e-06,-3.7263439e-06,0.33332367,4.305528,1,1,0.252,3.5,0.252,0
0.33334231,-3.639299e-06,-3.639299e-06,0.33332402,4.3456093,1,1,0.255,3.5,0.255,0
0.33334193,-3.5516589e-06,-3.5516589e-06,0.33332436,4.3856934,1,1,0.25799999,3.5,0.25799999,0
0.33334156,-3.4634377e-06,-3.4634377e-06,0.33332471,4.4257808,1,1,0.26100001,3.5,0.26100001,0
0.33334119,-3.3746518e-06,-3.3746518e-06,0.33332505,4.4658705,1,1,0.264,3.5,0.264,0
0.33334082,-3.2853142e-06,-3.2853142e-06,0.3333254,4.5059629,1,1,0.26699999,3.5,0.26699999,0
0.33334045,-3.1954374e-06,-3.1954374e-06,0.33332575,4.5460583,1,1,0.27000001,3.5,0.27000001,0
0.33334009,-3.1050362e-06,-3.1050362e-06,0.33332609,4.5861558,1,1,0.273,3.5,0.273,0
0.33333973,-3.0141222e-06,-3.0141222e-06,0.33332644,4.6262558,1,1,0.27599999,3.5,0.27599999,0
0.33333938,-2.9227067e-06,-2.9227067e-06,0.33332678,4.6663587,1,1,0.27900001,3.5,0.27900001,0
0.33333902,-2.8308031e-06,-2.8308031e-06,0.33332713,4.7064635,1,1,0.28200001,3.5,0.28200001,0
0.33333867,-2.7384218e-06,-2.7384218e-06,0.33332747,4.7465706,1,1,0.285,3.5,0.285,0
0.33333832,-2.6455738e-06,-2.6455738e-06,0.33332782,4.78668,1,1,0.28799999,3.5,0.28799999,0
0.33333797,-2.5522687e-06,-2.5522687e-06,0.33332816,4.8267921,1,1,0.29100001,3.5,0.29100001,0
0.33333763,-2.4585186e-06,-2.4585186e-06,0.33332851,4.8669058,1,1,0.294,3.5,0.294,0
0.33333729,-2.3643324e-06,-2.3643324e-06,0.33332885,4.9070217,1,1,0.29699999,3.5,0.29699999,0
0.33333695,-2.2697188e-06,-2.2697188e-06,0.3333292,4.9471401,1,1,0.30000001,3.5,0.30000001,0
0.33333661,-2.174689e-06,-2.174689e-06,0.33332954,4.9872601,1,1,0.303,3.5,0.303,0
0.33333627,-2.079251e-06,-2.079251e-06,0.33332988,5.027382,1,1,0.30599999,3.5,0.30599999,0
0.33333594,-1.9834135e-06,-1.9834135e-06,0.33333023,5.0675059,1,1,0.30899999,3.5,0.30899999,0
0.33333561,-1.8871841e-06,-1.8871841e-06,0.33333057,5.1076321,1,1,0.31200001,3.5,0.31200001,0
0.33333528,-1.7905728e-06,-1.7905728e-06,0.33333092,5.1477598,1,1,0.315,3.5,0.315,0
0.33333495,-1.6935866e-06,-1.6935866e-06,0.33333126,5.1878892,1,1,0.31799999,3.5,0.31799999,0
0.33333462,-1.5962324e-06,-1.5962324e-06,0.3333316,5.2280209,1,1,0.32100001,3.5,0.32100001,0
0.3333343,-1.4985195e-06,-1.4985195e-06,0.33333195,5.2681539,1,1,0.324,3.5,0.324,0
0.33333398,-1.4004542e-06,-1.4004542e-06,0.33333229,5.3082886,1,1,0.32699999,3.5,0.32699999,0
0.33333366,-1.3020426e-06,-1.3020426e-06,0.33333263,5.3484253,1,1,0.33000001,3.5,0.33000001,0
0.33333334,-1.2032936e-06,-1.2032936e-06,0.33333298,5.3885633,1,1,0.333,3.5,0.333,0
0.33333302,-1.1042129e-06,-1.1042129e-06,0.33333332,5.428703,1,1,0.336,3.5,0.336,0
0.33333271,-1.0048068e-06,-1.0048068e-06,0.33333366,5.4688442,1,1,0.33899999,3.5,0.33899999,0
0.33333239,-9.0508081e-07,-9.0508081e-07,0.33333401,5.5089873,1,1,0.34200001,3.5,0.34200001,0
0.33333208,-8.0504297e-07,-8.0504297e-07,0.33333435,5.5491316,1,1,0.345,3.5,0.345,0
0.33333562,1.83171e-06,1.83171e-06,0.33333114,5.583187,1,1,0.34799999,3.5,0.34799999,0
0.33333556,1.8847343e-06,1.8847343e-06,0.33333137,5.611317,1,1,0.35100001,3.5,0.35100001,0
0.33333551,1.9379786e-06,1.9379786e-06,0.3333316,5.6394618,1,1,0.354,3.5,0.354,0
0.33333545,1.9914497e-06,1.9914497e-06,0.33333184,5.6676221,1,1,0.35699999,3.5,0.35699999,0
0.3333354,2.0451544e-06,2.0451544e-06,0.33333207,5.6957986,1,1,0.36000001,3.5,0.36000001,0
0.33333534,2.0990984e-06,2.0990984e-06,0.3333323,5.7239913,1,1,0.36300001,3.5,0.36300001,0
0.33333528,2.1532888e-06,2.1532888e-06,0.33333253,5.7522009,1,1,0.366,3.5,0.366,0
0.33333522,2.2077328e-06,2.2077328e-06,0.33333276,5.7804278,1,1,0.36899999,3.5,0.36899999,0
0.33333516,2.2624381e-06,2.2624381e-06,0.33333299,5.8086728,1,1,0.37200001,3.5,0.37200001,0
0.3333351,2.3174111e-06,2.3174111e-06,0.33333322,5.8369359,1,1,0.375,3.5,0.375,0
0.33333504,2.37266e-06,2.37266e-06,0.33333345,5.8652179,1,1,0.37799999,3.5,0.37799999,0
0.33333498,2.4281934e-06,2.4281934e-06,0.33333368,5.8935196,1,1,0.38100001,3.5,0.38100001,0
0.33333491,2.4840183e-06,2.4840183e-06,0.33333391,5.921841,1,1,0.384,3.5,0.384,0
0.33333485,2.5401436e-06,2.5401436e-06,0.33333414,5.9501829,1,1,0.38699999,3.5,0.38699999,0
0.33333478,2.5965781e-06,2.5965781e-06,0.33333437,5.9785461,1,1,0.38999999,3.5,0.38999999,0
0.33333472,2.6533314e-06,2.6533314e-06,0.3333346,6.0069313,1,1,0.39300001,3.5,0.39300001,0
0.33333465,2.7104114e-06,2.7104114e-06,0.33333483,6.0353386,1,1,0.396,3.5,0.396,0
0.33333458,2.7678283e-06,2.7678283e-06,0.33333505,6.0637689,1,1,0.39899999,3.5,0.39899999,0
0.33333451,2.8255924e-06,2.8255924e-06,0.33333528,6.0922233,1,1,0.40200001,3.5,0.40200001,0
0.33333444,2.8837127e-06,2.8837127e-06,0.33333551,6.1207018,1,1,0.405,3.5,0.405,0
0.33333436,2.9422e-06,2.9422e-06,0.33333573,6.1492054,1,1,0.40799999,3.5,0.40799999,0
0.33333429,3.0010656e-06,3.0010656e-06,0.33333596,6.1777352,1,1,0.41100001,3.5,0.41100001,0
0.33333421,3.0603193e-06,3.0603193e-06,0.33333619,6.2062912,1,1,0.414,3.5,0.414,0
0.33333414,3.1199728e-06,3.1199728e-06,0.33333641,6.2348747,1,1,0.417,3.5,0.417,0
0.33333406,3.1800377e-06,3.1800377e-06,0.33333664,6.2634863,1,1,0.41999999,3.5,0.41999999,0
0.33333398,3.2405265e-06,3.2405265e-06,0.33333686,6.2921271,1,1,0.42300001,3.5,0.42300001,0
0.33333389,3.3014501e-06,3.3014501e-06,0.33333708,6.3207975,1,1,0.426,3.5,0.426,0
0.33333381,3.3628216e-06,3.3628216e-06,0.33333731,6.3494985,1,1,0.42899999,3.5,0.42899999,0
0.33333373,3.4246543e-06,3.4246543e-06,0.33333753,6.3782313,1,1,0.43200001,3.5,0.43200001,0
0.33333364,3.48696e-06,3.48696e-06,0.33333775,6.4069962,1,1,0.435,3.5,0.435,0
0.33333355,3.5497527e-06,3.5497527e-06,0.33333797,6.4357945,1,1,0.43799999,3.5,0.43799999,0
0.33333346,3.6130466e-06,3.6130466e-06,0.33333819,6.4646274,1,1,0.44100001,3.5,0.44100001,0
0.33333337,3.6768544e-06,3.6768544e-06,0.33333841,6.4934951,1,1,0.44400001,3.5,0.44400001,0
0.33333328,3.7411909e-06,3.7411909e-06,0.33333863,6.522399,1,1,0.447,3.5,0.447,0
0.33333318,3.8060706e-06,3.8060706e-06,0.33333885,6.5513402,1,1,0.44999999,3.5,0.44999999,0
0.33333308,3.8715087e-06,3.8715087e-06,0.33333907,6.5803197,1,1,0.45300001,3.5,0.45300001,0
0.33333298,3.937519e-06,3.937519e-06,0.33333929,6.6093382,1,1,0.456,3.5,0.456,0
0.33333288,4.0041173e-06,4.0041173e-06,0.3333395,6.638397,1,1,0.45899999,3.5,0.45899999,0
0.33333278,4.0713196e-06,4.0713196e-06,0.33333972,6.6674973,1,1,0.46200001,3.5,0.46200001,0
0.33333267,4.1391401e-06,4.1391401e-06,0.33333994,6.6966397,1,1,0.465,3.5,0.465,0
0.33333256,4.2075952e-06,4.2075952e-06,0.33334015,6.7258255,1,1,0.46799999,3.5,0.46799999,0
0.33333245,4.2767007e-06,4.2767007e-06,0.33334037,6.7550558,1,1,0.47099999,3.5,0.47099999,0
0.33333234,4.3464734e-06,4.3464734e-06,0.33334058,6.784332,1,1,0.47400001,3.5,0.47400001,0
0.33333223,4.4169278e-06,4.4169278e-06,0.33334079,6.8136547,1,1,0.477,3.5,0.477,0
0.33333211,4.4880807e-06,4.4880807e-06,0.333341,6.8430251,1,1,0.47999999,3.5,0.47999999,0
0.33333199,4.559949e-06,4.559949e-06,0.33334121,6.8724448,1,1,0.48300001,3.5,0.48300001,0
0.33333186,4.6325472e-06,4.6325472e-06,0.33334142,6.9019142,1,1,0.486,3.5,0.486,0
0.33332726,1.7925829e-06,1.7925829e-06,0.33334149,6.9400142,1,1,0.48899999,3.5,0.48899999,0
0.33332749,1.8080518e-06,1.8080518e-06,0.33334123,6.9700399,1,1,0.49200001,3.5,0.49200001,0
0.33332772,1.826493e-06,1.826493e-06,0.33334096,7.0000206,1,1,0.495,3.5,0.495,0
0.33332795,1.8479473e-06,1.8479473e-06,0.3333407,7.0299561,1,1,0.498,3.5,0.498,0
0.33332818,1.8724566e-06,1.8724566e-06,0.33334044,7.0598456,1,1,0.50099999,3.5,0.50099999,0
0.33332841,1.9000636e-06,1.9000636e-06,0.33334018,7.0896889,1,1,0.50400001,3.5,0.50400001,0
0.33332865,1.9308113e-06,1.9308113e-06,0.33333992,7.119485,1,1,0.50700003,3.5,0.50700003,0
0.33332888,1.9647432e-06,1.9647432e-06,0.33333966,7.1492326,1,1,0.50999999,3.5,0.50999999,0
0.33332912,2.0019056e-06,2.0019056e-06,0.3333394,7.1789322,1,1,0.51300001,3.5,0.51300001,0
0.33332936,2.0423429e-06,2.0423429e-06,0.33333915,7.2085821,1,1,0.51599997,3.5,0.51599997,0
0.3333296,2.0861035e-06,2.0861035e-06,0.33333889,7.2381826,1,1,0.51899999,3.5,0.51899999,0
0.33332984,2.1332341e-06,2.1332341e-06,0.33333864,7.2677324,1,1,0.52200001,3.5,0.52200001,0
0.33333008,2.1837825e-06,2.1837825e-06,0.33333839,7.2972302,1,1,0.52499998,3.5,0.52499998,0
0.33333033,2.2378001e-06,2.2378001e-06,0.33333814,7.3266766,1,1,0.528,3.5,0.528,0
0.33333057,2.2953366e-06,2.2953366e-06,0.33333789,7.35607,1,1,0.53100002,3.5,0.53100002,0
0.33333082,2.3564422e-06,2.3564422e-06,0.33333765,7.3854092,1,1,0.53399998,3.5,0.53399998,0
0.33333107,2.4211721e-06,2.4211721e-06,0.3333374,7.4146945,1,1,0.537,3.5,0.537,0
0.33333133,2.4895786e-06,2.4895786e-06,0.33333716,7.4439245,1,1,0.54000002,3.5,0.54000002,0
0.33333158,2.5617153e-06,2.5617153e-06,0.33333692,7.4730979,1,1,0.54299998,3.5,0.54299998,0
0.33333184,2.6376407e-06,2.6376407e-06,0.33333668,7.5022149,1,1,0.546,3.5,0.546,0
0.33333209,2.7174105e-06,2.7174105e-06,0.33333644,7.5312742,1,1,0.54900002,3.5,0.54900002,0
0.33333235,2.8010814e-06,2.8010814e-06,0.3333362,7.5602742,1,1,0.55199999,3.5,0.55199999,0
0.33333261,2.888716e-06,2.888716e-06,0.33333597,7.5892152,1,1,0.55500001,3.5,0.55500001,0
0.33333288,2.9803736e-06,2.9803736e-06,0.33333573,7.6180958,1,1,0.55800003,3.5,0.55800003,0
0.33333314,3.076114e-06,3.076114e-06,0.3333355,7.6469144,1,1,0.56099999,3.5,0.56099999,0
0.33333341,3.1760045e-06,3.1760045e-06,0.33333527,7.6756712,1,1,0.56400001,3.5,0.56400001,0
0.33333368,3.2801057e-06,3.2801057e-06,0.33333504,7.7043641,1,1,0.56699997,3.5,0.56699997,0
0.33333395,3.3884879e-06,3.3884879e-06,0.33333481,7.7329933,1,1,0.56999999,3.5,0.56999999,0
0.33333423,3.5012165e-06,3.5012165e-06,0.33333459,7.7615572,1,1,0.57300001,3.5,0.57300001,0
0.3333335,-7.9516102e-07,-7.9516102e-07,0.33333421,7.7773199,1,1,0.57599998,3.5,0.57599998,0
0.33333353,-6.4639237e-07,-6.4639237e-07,0.33333427,7.7956844,1,1,0.579,3.5,0.579,0
0.33333357,-5.0243942e-07,-5.0243942e-07,0.33333433,7.8140734,1,1,0.58200002,3.5,0.58200002,0
0.33333361,-3.6327348e-07,-3.6327348e-07,0.33333439,7.8324863,1,1,0.58499998,3.5,0.58499998,0
0.33333364,-2.2885522e-07,-2.2885522e-07,0.33333444,7.8509238,1,1,0.588,3.5,0.588,0
0.33333368,-9.9151294e-08,-9.9151294e-08,0.33333449,7.8693852,1,1,0.59100002,3.5,0.59100002,0
0.33333372,2.5874199e-08,2.5874199e-08,0.33333454,7.8878701,1,1,0.59399998,3.5,0.59399998,0
0.33333375,1.462667e-07,1.462667e-07,0.33333459,7.9063789,1,1,0.597,3.5,0.597,0
0.33333379,2.6206616e-07,2.6206616e-07,0.33333463,7.9249111,1,1,0.60000002,3.5,0.60000002,0
0.33333383,3.7331481e-07,3.7331481e-07,0.33333467,7.943466,1,1,0.60299999,3.5,0.60299999,0
0.33333387,4.8006326e-07,4.8006326e-07,0.33333471,7.9620443,1,1,0.60600001,3.5,0.60600001,0
0.3333339,5.8235714e-07,5.8235714e-07,0.33333475,7.9806452,1,1,0.60900003,3.5,0.60900003,0
0.33333394,6.80244e-07,6.80244e-07,0.33333478,7.9992681,1,1,0.61199999,3.5,0.61199999,0
0.33333398,7.7377866e-07,7.7377866e-07,0.33333481,8.0179135,1,1,0.61500001,3.5,0.61500001,0
0.33333402,8.6300968e-07,8.6300968e-07,0.33333484,8.0365805,1,1,0.61799997,3.5,0.61799997,0
0.33333406,9.4799412e-07,9.4799412e-07,0.33333487,8.0552694,1,1,0.62099999,3.5,0.62099999,0
0.3333341,1.0287848e-06,1.0287848e-06,0.33333489,8.0739796,1,1,0.62400001,3.5,0.62400001,0
0.33333414,1.105436e-06,1.105436e-06,0.33333491,8.0927106,1,1,0.62699997,3.5,0.62699997,0
0.33333418,1.1780071e-06,1.1780071e-06,0.33333493,8.1114627,1,1,0.63,3.5,0.63,0
0.33333423,1.2465542e-06,1.2465542e-06,0.33333494,8.1302352,1,1,0.63300002,3.5,0.63300002,0
0.33333427,1.311134e-06,1.311134e-06,0.33333496,8.1490276,1,1,0.63599998,3.5,0.63599998,0
0.33333431,1.3718078e-06,1.3718078e-06,0.33333497,8.1678401,1,1,0.639,3.5,0.639,0
0.33333435,1.4286333e-06,1.4286333e-06,0.33333498,8.1866723,1,1,0.64200002,3.5,0.64200002,0
0.33333439,1.4816693e-06,1.4816693e-06,0.33333498,8.2055234,1,1,0.64499998,3.5,0.64499998,0
0.33333444,1.5309776e-06,1.5309776e-06,0.33333499,8.2243938,1,1,0.648,3.5,0.648,0
0.33333448,1.5766174e-06,1.5766174e-06,0.33333499,8.2432829,1,1,0.65100002,3.5,0.65100002,0
0.33333452,1.618648e-06,1.618648e-06,0.33333499,8.2621899,1,1,0.65399998,3.5,0.65399998,0
0.33333457,1.6571315e-06,1.6571315e-06,0.33333499,8.2811154,1,1,0.65700001,3.5,0.65700001,0
0.33333461,1.6921272e-06,1.6921272e-06,0.33333499,8.3000586,1,1,0.66000003,3.5,0.66000003,0
0.33333465,1.7236948e-06,1.7236948e-06,0.33333498,8.3190189,1,1,0.66299999,3.5,0.66299999,0
0.3333347,1.7518955e-06,1.7518955e-06,0.33333497,8.3379966,1,1,0.66600001,3.5,0.66600001,0
0.33333474,1.7767885e-06,1.7767885e-06,0.33333496,8.3569912,1,1,0.66900003,3.5,0.66900003,0
0.33333479,1.7984329e-06,1.7984329e-06,0.33333495,8.376002,1,1,0.67199999,3.5,0.67199999,0
0.33333483,1.8168888e-06,1.8168888e-06,0.33333494,8.3950293,1,1,0.67500001,3.5,0.67500001,0
0.33333488,1.832214e-06,1.832214e-06,0.33333492,8.4140722,1,1,0.67799997,3.5,0.67799997,0
0.33333492,1.8444676e-06,1.8444676e-06,0.3333349,8.4331311,1,1,0.68099999,3.5,0.68099999,0
0.33333497,1.8537069e-06,1.8537069e-06,0.33333488,8.4522054,1,1,0.68400002,3.5,0.68400002,0
0.33333501,1.8599892e-06,1.8599892e-06,0.33333486,8.4712942,1,1,0.68699998,3.5,0.68699998,0
0.33333506,1.8633714e-06,1.8633714e-06,0.33333484,8.4903983,1,1,0.69,3.5,0.69,0
0.33333511,1.8639093e-06,1.8639093e-06,0.33333482,8.5095168,1,1,0.69300002,3.5,0.69300002,0
0.33333515,1.8616585e-06,1.8616585e-06,0.33333479,8.5286491,1,1,0.69599998,3.5,0.69599998,0
0.3333352,1.8566735e-06,1.8566735e-06,0.33333476,8.5477957,1,1,0.699,3.5,0.699,0
0.33333525,1.8490083e-06,1.8490083e-06,0.33333473,8.5669559,1,1,0.70200002,3.5,0.70200002,0
0.3333353,1.8387165e-06,1.8387165e-06,0.3333347,8.5861291,1,1,0.70499998,3.5,0.70499998,0
