"E00","E01","E10","E11","phi","attribute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.32791638,0.00014720811,0.00014720811,0.34472236,0.12770152,1,1,0,3.5,0,0
0.32800657,0.00014472168,0.00014472168,0.34453343,0.18262617,1,1,0.003,3.5,0.003,0
0.32809672,0.00014223918,0.00014223918,0.34434459,0.23754997,1,1,0.0060000001,3.5,0.0060000001,0
0.32818684,0.0001397606,0.0001397606,0.34415581,0.29247292,1,1,0.0089999996,3.5,0.0089999996,0
0.32827693,0.00013728594,0.00013728594,0.34396711,0.34739504,1,1,0.012,3.5,0.012,0
0.32836699,0.0001348152,0.0001348152,0.34377848,0.4023163,1,1,0.015,3.5,0.015,0
0.32845702,0.00013234836,0.00013234836,0.34358993,0.45723673,1,1,0.017999999,3.5,0.017999999,0
0.32854703,0.00012988541,0.00012988541,0.34340144,0.51215634,1,1,0.021,3.5,0.021,0
0.328637,0.00012742637,0.00012742637,0.34321304,0.5670751,1,1,0.024,3.5,0.024,0
0.32872694,0.00012497121,0.00012497121,0.3430247,0.62199303,1,1,0.027000001,3.5,0.027000001,0
0.32881685,0.00012251994,0.00012251994,0.34283643,0.6769101,1,1,0.029999999,3.5,0.029999999,0
0.32890674,0.00012007254,0.00012007254,0.34264824,0.73182636,1,1,0.033,3.5,0.033,0
0.32899659,0.00011762902,0.00011762902,0.34246012,0.78674176,1,1,0.035999998,3.5,0.035999998,0
0.32908641,0.00011518937,0.00011518937,0.34227208,0.84165639,1,1,0.039000001,3.5,0.039000001,0
0.32917621,0.00011275357,0.00011275357,0.3420841,0.89657013,1,1,0.041999999,3.5,0.041999999,0
0.32926597,0.00011032164,0.00011032164,0.3418962,0.95148311,1,1,0.045000002,3.5,0.045000002,0
0.32935571,0.00010789355,0.00010789355,0.34170837,1.0063952,1,1,0.048,3.5,0.048,0
0.32944541,0.00010546931,0.00010546931,0.34152061,1.0613064,1,1,0.050999999,3.5,0.050999999,0
0.32953509,0.00010304891,0.00010304891,0.34133292,1.1162169,1,1,0.054000001,3.5,0.054000001,0
0.32962473,0.00010063234,0.00010063234,0.3411453,1.1711265,1,1,0.057,3.5,0.057,0
0.32971435,9.8219607e-05,9.8219607e-05,0.34095776,1.2260353,1,1,0.059999999,3.5,0.059999999,0
0.32980394,9.581069e-05,9.581069e-05,0.34077029,1.2809434,1,1,0.063000001,3.5,0.063000001,0
0.3298935,9.3405595e-05,9.3405595e-05,0.34058289,1.3358505,1,1,0.066,3.5,0.066,0
0.32998303,9.1004312e-05,9.1004312e-05,0.34039556,1.3907568,1,1,0.068999998,3.5,0.068999998,0
0.33007253,8.8606836e-05,8.8606836e-05,0.3402083,1.4456623,1,1,0.071999997,3.5,0.071999997,0
0.330162,8.6213156e-05,8.6213156e-05,0.34002111,1.5005671,1,1,0.075000003,3.5,0.075000003,0
0.33025144,8.3823278e-05,8.3823278e-05,0.33983399,1.555471,1,1,0.078000002,3.5,0.078000002,0
0.33034085,8.1437192e-05,8.1437192e-05,0.33964694,1.6103741,1,1,0.081,3.5,0.081,0
0.33043024,7.905489e-05,7.905489e-05,0.33945997,1.6652763,1,1,0.083999999,3.5,0.083999999,0
0.33051959,7.6676369e-05,7.6676369e-05,0.33927306,1.7201777,1,1,0.086999997,3.5,0.086999997,0
0.33060892,7.4301617e-05,7.4301617e-05,0.33908623,1.7750785,1,1,0.090000004,3.5,0.090000004,0
0.33069822,7.1930641e-05,7.1930641e-05,0.33889947,1.8299783,1,1,0.093000002,3.5,0.093000002,0
0.33078748,6.9563428e-05,6.9563428e-05,0.33871277,1.8848773,1,1,0.096000001,3.5,0.096000001,0
0.33087672,6.7199975e-05,6.7199975e-05,0.33852615,1.9397755,1,1,0.098999999,3.5,0.098999999,0
0.33096593,6.4840275e-05,6.4840275e-05,0.3383396,1.9946729,1,1,0.102,3.5,0.102,0
0.33105512,6.2484323e-05,6.2484323e-05,0.33815311,2.0495694,1,1,0.105,3.5,0.105,0
0.33114427,6.0132108e-05,6.0132108e-05,0.3379667,2.1044653,1,1,0.108,3.5,0.108,0
0.33123339,5.7783637e-05,5.7783637e-05,0.33778036,2.1593603,1,1,0.111,3.5,0.111,0
0.33132249,5.5438899e-05,5.5438899e-05,0.33759408,2.2142545,1,1,0.114,3.5,0.114,0
0.33141156,5.3097887e-05,5.3097887e-05,0.33740788,2.2691479,1,1,0.117,3.5,0.117,0
0.3315006,5.0760598e-05,5.0760598e-05,0.33722174,2.3240404,1,1,0.12,3.5,0.12,0
0.33158961,4.8427019e-05,4.8427019e-05,0.33703568,2.3789323,1,1,0.123,3.5,0.123,0
0.33167859,4.6097157e-05,4.6097157e-05,0.33684968,2.4338233,1,1,0.126,3.5,0.126,0
0.33176754,4.3771008e-05,4.3771008e-05,0.33666376,2.4887133,1,1,0.12899999,3.5,0.12899999,0
0.33185647,4.1448548e-05,4.1448548e-05,0.3364779,2.5436029,1,1,0.132,3.5,0.132,0
0.33194537,3.9129784e-05,3.9129784e-05,0.33629211,2.5984916,1,1,0.13500001,3.5,0.13500001,0
0.33203423,3.6814722e-05,3.6814722e-05,0.33610639,2.6533792,1,1,0.138,3.5,0.138,0
0.33212307,3.4503334e-05,3.4503334e-05,0.33592074,2.7082664,1,1,0.141,3.5,0.141,0
0.33221189,3.2195637e-05,3.2195637e-05,0.33573516,2.7631524,1,1,0.14399999,3.5,0.14399999,0
0.33230067,2.9891605e-05,2.9891605e-05,0.33554965,2.818038,1,1,0.147,3.5,0.147,0
0.33238943,2.7591242e-05,2.7591242e-05,0.3353642,2.8729228,1,1,0.15000001,3.5,0.15000001,0
0.33247815,2.5294556e-05,2.5294556e-05,0.33517883,2.9278065,1,1,0.153,3.5,0.153,0
0.33256685,2.3001518e-05,2.3001518e-05,0.33499352,2.9826897,1,1,0.156,3.5,0.156,0
0.33265553,2.0712145e-05,2.0712145e-05,0.33480828,3.0375718,1,1,0.15899999,3.5,0.15899999,0
0.33274417,1.8426411e-05,1.8426411e-05,0.33462311,3.0924534,1,1,0.162,3.5,0.162,0
0.33283279,1.6144322e-05,1.6144322e-05,0.334438,3.1473343,1,1,0.16500001,3.5,0.16500001,0
0.33292137,1.3865883e-05,1.3865883e-05,0.33425297,3.202214,1,1,0.168,3.5,0.168,0
0.33300993,1.1591066e-05,1.1591066e-05,0.334068,3.2570933,1,1,0.171,3.5,0.171,0
0.33309847,9.3198907e-06,9.3198907e-06,0.3338831,3.3119715,1,1,0.17399999,3.5,0.17399999,0
0.33318697,7.0523277e-06,7.0523277e-06,0.33369827,3.3668493,1,1,0.177,3.5,0.177,0
0.33327545,4.7883837e-06,4.7883837e-06,0.33351351,3.4217262,1,1,0.18000001,3.5,0.18000001,0
0.33342634,-2.0788824e-05,-2.0788824e-05,0.33322165,3.4858936,1,1,0.183,3.5,0.183,0
0.33342391,-2.0806543e-05,-2.0806543e-05,0.33322374,3.5256848,1,1,0.186,3.5,0.186,0
0.33342151,-2.0816983e-05,-2.0816983e-05,0.33322583,3.5654776,1,1,0.189,3.5,0.189,0
0.33341914,-2.0820397e-05,-2.0820397e-05,0.3332279,3.6052726,1,1,0.192,3.5,0.192,0
0.3334168,-2.0817027e-05,-2.0817027e-05,0.33322996,3.6450691,1,1,0.19499999,3.5,0.19499999,0
0.3334145,-2.0807099e-05,-2.0807099e-05,0.33323202,3.6848677,1,1,0.198,3.5,0.198,0
0.33341223,-2.0790832e-05,-2.0790832e-05,0.33323406,3.7246679,1,1,0.20100001,3.5,0.20100001,0
0.33340999,-2.0768432e-05,-2.0768432e-05,0.3332361,3.7644695,1,1,0.204,3.5,0.204,0
0.33340777,-2.0740096e-05,-2.0740096e-05,0.33323812,3.8042729,1,1,0.207,3.5,0.207,0
0.33340558,-2.070601e-05,-2.070601e-05,0.33324014,3.8440777,1,1,0.20999999,3.5,0.20999999,0
0.33340342,-2.0666354e-05,-2.0666354e-05,0.33324214,3.8838842,1,1,0.213,3.5,0.213,0
0.33340129,-2.0621298e-05,-2.0621298e-05,0.33324414,3.9236921,1,1,0.21600001,3.5,0.21600001,0
0.33339918,-2.0571006e-05,-2.0571006e-05,0.33324614,3.9635012,1,1,0.219,3.5,0.219,0
0.33339709,-2.0515633e-05,-2.0515633e-05,0.33324812,4.0033118,1,1,0.222,3.5,0.222,0
0.33339503,-2.0455329e-05,-2.0455329e-05,0.33325009,4.0431236,1,1,0.22499999,3.5,0.22499999,0
0.33339299,-2.0390236e-05,-2.0390236e-05,0.33325206,4.0829368,1,1,0.228,3.5,0.228,0
0.33339097,-2.0320491e-05,-2.0320491e-05,0.33325402,4.1227513,1,1,0.23100001,3.5,0.23100001,0
0.33338898,-2.0246226e-05,-2.0246226e-05,0.33325598,4.1625668,1,1,0.234,3.5,0.234,0
0.333387,-2.0167565e-05,-2.0167565e-05,0.33325793,4.2023837,1,1,0.237,3.5,0.237,0
0.33338505,-2.0084631e-05,-2.0084631e-05,0.33325987,4.2422015,1,1,0.23999999,3.5,0.23999999,0
0.33338312,-1.9997537e-05,-1.9997537e-05,0.3332618,4.2820206,1,1,0.243,3.5,0.243,0
0.3333812,-1.9906397e-05,-1.9906397e-05,0.33326373,4.3218408,1,1,0.24600001,3.5,0.24600001,0
0.3333793,-1.9811316e-05,-1.9811316e-05,0.33326565,4.3616619,1,1,0.249,3.5,0.249,0
0.33337743,-1.9712399e-05,-1.9712399e-05,0.33326757,4.4014842,1,1,0.252,3.5,0.252,0
0.33337557,-1.9609743e-05,-1.9609743e-05,0.33326948,4.4413073,1,1,0.255,3.5,0.255,0
0.33337373,-1.9503445e-05,-1.9503445e-05,0.33327138,4.4811313,1,1,0.25799999,3.5,0.25799999,0
0.3333719,-1.9393595e-05,-1.9393595e-05,0.33327328,4.5209567,1,1,0.26100001,3.5,0.26100001,0
0.33337009,-1.9280283e-05,-1.9280283e-05,0.33327518,4.5607827,1,1,0.264,3.5,0.264,0
0.3333683,-1.9163595e-05,-1.9163595e-05,0.33327707,4.6006095,1,1,0.26699999,3.5,0.26699999,0
0.33336652,-1.9043611e-05,-1.9043611e-05,0.33327895,4.6404376,1,1,0.27000001,3.5,0.27000001,0
0.33336476,-1.8920413e-05,-1.8920413e-05,0.33328083,4.6802662,1,1,0.273,3.5,0.273,0
0.33336302,-1.8794076e-05,-1.8794076e-05,0.3332827,4.7200956,1,1,0.27599999,3.5,0.27599999,0
0.33336128,-1.8664674e-05,-1.8664674e-05,0.33328457,4.7599262,1,1,0.27900001,3.5,0.27900001,0
