%%MatrixMarket matrix coordinate real general
% Generated by MFEM
100 47 -1.45616509203104e-04
101 50 1.66666666844772e-01
101 48 6.25625048104220e-03
101 47 -1.03909432617513e-03
102 49 1.66666666844772e-01
102 48 -1.67635726404208e-03
102 47 2.78424485558387e-04
103 49 -1.13173122851998e-03
103 50 9.40509406597965e-04
103 44 1.66515955533892e-01
103 43 3.90101130884099e-04
104 49 3.03246468731011e-04
104 50 -2.52008735971799e-04
104 44 3.90101130884096e-04
104 43 1.73396507839362e-01
105 49 -1.12912835910979e-03
105 50 -2.06214605570823e-03
106 49 -4.21396440446463e-03
106 50 -7.69603385253088e-03
107 48 2.06214605570823e-03
107 47 1.12912835910979e-03
108 48 7.69603385253088e-03
108 47 4.21396440446463e-03
109 52 -3.94322506031071e-04
109 51 1.82602576395789e-03
109 49 1.66666666844772e-01
110 52 1.47163162707584e-03
110 51 -6.81482092702062e-03
110 50 1.66666666844772e-01
111 52 2.32222616497253e-04
111 51 1.69727295122939e-01
111 49 1.03909432617513e-03
111 50 -6.25625048104219e-03
112 52 1.71485163816607e-01
112 51 2.32222616497257e-04
112 49 -2.78424485558386e-04
112 50 1.67635726404208e-03
113 52 3.96497752719589e-03
113 51 -1.41680666330174e-03
114 52 -1.06241252641969e-03
114 51 3.79632201262734e-04
115 49 -3.03246468731011e-04
115 50 2.52008735971799e-04
115 40 1.50362526441362e-01
115 39 -7.32452724501148e-04
116 49 1.13173122851998e-03
116 50 -9.40509406597965e-04
116 40 -7.32452724501148e-04
116 39 1.57946521571835e-01
117 49 -4.21396440446463e-03
117 50 -7.69603385253088e-03
118 49 -1.12912835910979e-03
118 50 -2.06214605570823e-03
119 52 2.11504715982057e-03
119 51 2.63391618802493e-03
120 52 7.89346346085461e-03
120 51 9.82990903658717e-03
121 55 1.66666666844772e-01
121 52 -1.47163162707584e-03
121 51 6.81482092702062e-03
122 56 1.66666666844772e-01
122 52 3.94322506031070e-04
122 51 -1.82602576395789e-03
123 56 -3.96497752719589e-03
123 55 1.41680666330174e-03
124 56 1.06241252641969e-03
124 55 -3.79632201262734e-04
125 52 1.06241252641969e-03
125 51 -3.79632201262734e-04
126 52 -3.96497752719589e-03
126 51 1.41680666330174e-03
127 56 3.94322506031070e-04
127 55 -1.82602576395789e-03
127 52 1.71485163816607e-01
127 51 2.32222616497257e-04
128 56 -1.47163162707584e-03
128 55 6.81482092702062e-03
128 52 2.32222616497253e-04
128 51 1.69727295122939e-01
129 56 -7.89346346085461e-03
129 55 -9.82990903658717e-03
130 56 -2.11504715982057e-03
130 55 -2.63391618802493e-03
131 52 7.89346346085461e-03
131 51 9.82990903658717e-03
132 52 2.11504715982057e-03
132 51 2.63391618802493e-03
133 61 1.66666666844772e-01
133 48 -9.40509406597965e-04
133 47 1.13173122851998e-03
134 62 1.66666666844772e-01
134 48 2.52008735971799e-04
134 47 -3.03246468731011e-04
135 56 -1.06241252641969e-03
135 55 3.79632201262734e-04
136 56 3.96497752719589e-03
136 55 -1.41680666330174e-03
137 56 1.66666666844772e-01
137 48 1.67635726404208e-03
137 47 -2.78424485558387e-04
138 55 1.66666666844772e-01
138 48 -6.25625048104220e-03
138 47 1.03909432617513e-03
139 56 1.47163162707584e-03
139 55 -6.81482092702062e-03
139 48 1.66641251985401e-01
139 47 -1.45616509203104e-04
140 56 -3.94322506031071e-04
140 55 1.82602576395789e-03
140 48 -1.45616509203108e-04
140 47 1.63097149021929e-01
141 56 -2.11504715982057e-03
141 55 -2.63391618802493e-03
142 56 -7.89346346085461e-03
142 55 -9.82990903658717e-03
143 48 7.69603385253088e-03
143 47 4.21396440446463e-03
144 48 2.06214605570823e-03
144 47 1.12912835910979e-03
145 69 -6.25625048104221e-03
145 70 1.03909432617513e-03
145 65 1.66666666844772e-01
146 69 1.67635726404208e-03
146 70 -2.78424485558387e-04
146 66 1.66666666844772e-01
147 66 3.96497752719589e-03
147 65 -1.41680666330174e-03
148 66 -1.06241252641969e-03
148 65 3.79632201262734e-04
149 69 2.52008735971799e-04
149 70 -3.03246468731011e-04
149 62 1.66666666844772e-01
150 69 -9.40509406597966e-04
150 70 1.13173122851998e-03
150 61 1.66666666844772e-01
151 69 -1.45616509203087e-04
151 70 1.63097149021929e-01
151 66 -3.94322506031071e-04
151 65 1.82602576395789e-03
152 69 1.66641251985401e-01
152 70 -1.45616509203101e-04
152 66 1.47163162707584e-03
152 65 -6.81482092702062e-03
153 66 7.89346346085460e-03
153 65 9.82990903658716e-03
154 66 2.11504715982057e-03
154 65 2.63391618802492e-03
155 69 -7.69603385253089e-03
155 70 -4.21396440446463e-03
156 69 -2.06214605570823e-03
156 70 -1.12912835910979e-03
157 71 1.66666666844772e-01
157 69 -1.67635726404208e-03
157 70 2.78424485558387e-04
158 72 1.66666666844772e-01
158 69 6.25625048104221e-03
158 70 -1.03909432617513e-03
159 72 6.25625048104221e-03
159 71 -1.03909432617513e-03
159 69 1.66641251985401e-01
159 70 -1.45616509203101e-04
160 72 -1.67635726404208e-03
160 71 2.78424485558387e-04
160 69 -1.45616509203087e-04
160 70 1.63097149021929e-01
161 69 9.40509406597966e-04
161 70 -1.13173122851998e-03
161 46 1.66666666844772e-01
162 69 -2.52008735971799e-04
162 70 3.03246468731011e-04
162 45 1.66666666844772e-01
163 72 -2.52008735971799e-04
163 71 3.03246468731011e-04
163 16 1.73396507839362e-01
163 15 3.90101130884085e-04
164 72 9.40509406597966e-04
164 71 -1.13173122851998e-03
164 16 3.90101130884082e-04
164 15 1.66515955533892e-01
165 72 7.69603385253088e-03
165 71 4.21396440446463e-03
166 72 2.06214605570823e-03
166 71 1.12912835910979e-03
167 69 -2.06214605570823e-03
167 70 -1.12912835910980e-03
168 69 -7.69603385253089e-03
168 70 -4.21396440446463e-03
169 76 3.79632201262734e-04
169 75 -1.06241252641969e-03
170 76 -1.41680666330174e-03
170 75 3.96497752719588e-03
171 76 2.32222616497222e-04
171 75 1.71485163816607e-01
171 72 1.67635726404208e-03
171 71 -2.78424485558387e-04
172 76 1.69727295122939e-01
172 75 2.32222616497222e-04
172 72 -6.25625048104221e-03
172 71 1.03909432617513e-03
173 76 -6.81482092702063e-03
173 75 1.47163162707584e-03
173 72 1.66666666844772e-01
174 76 1.82602576395789e-03
174 75 -3.94322506031071e-04
174 71 1.66666666844772e-01
175 72 -9.40509406597966e-04
175 71 1.13173122851998e-03
175 12 1.57946521571835e-01
175 11 -7.32452724501169e-04
176 72 2.52008735971799e-04
176 71 -3.03246468731011e-04
176 12 -7.32452724501169e-04
176 11 1.50362526441362e-01
177 72 2.06214605570823e-03
177 71 1.12912835910979e-03
178 72 7.69603385253088e-03
178 71 4.21396440446463e-03
179 76 -2.63391618802493e-03
179 75 -2.11504715982056e-03
180 76 -9.82990903658716e-03
180 75 -7.89346346085460e-03
181 76 1.41680666330174e-03
181 75 -3.96497752719588e-03
182 76 -3.79632201262734e-04
182 75 1.06241252641969e-03
183 66 1.06241252641969e-03
183 65 -3.79632201262734e-04
184 66 -3.96497752719589e-03
184 65 1.41680666330174e-03
185 76 -1.82602576395789e-03
185 75 3.94322506031071e-04
185 66 1.66666666844772e-01
186 76 6.81482092702063e-03
186 75 -1.47163162707584e-03
186 65 1.66666666844772e-01
187 76 1.69727295122939e-01
187 75 2.32222616497222e-04
187 66 -1.47163162707584e-03
187 65 6.81482092702062e-03
188 76 2.32222616497222e-04
188 75 1.71485163816607e-01
188 66 3.94322506031071e-04
188 65 -1.82602576395789e-03
189 66 2.11504715982057e-03
189 65 2.63391618802492e-03
190 66 7.89346346085460e-03
190 65 9.82990903658716e-03
191 76 -9.82990903658716e-03
191 75 -7.89346346085460e-03
192 76 -2.63391618802493e-03
192 75 -2.11504715982056e-03
