"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.60863,1,0,0,0.5,0
0.61968,1,0.001,0.001,0.5,0
0.63073,1,0.002,0.002,0.5,0
0.64177,1,0.003,0.003,0.5,0
0.65282,1,0.004,0.004,0.5,0
0.66387,1,0.005,0.005,0.5,0
0.67492,1,0.006,0.006,0.5,0
0.68596,1,0.007,0.007,0.5,0
0.69701,1,0.008,0.008,0.5,0
0.70806,1,0.009,0.009,0.5,0
0.71911,1,0.01,0.01,0.5,0
0.73015,1,0.011,0.011,0.5,0
0.7412,1,0.012,0.012,0.5,0
0.75225,1,0.013,0.013,0.5,0
0.76329,1,0.014,0.014,0.5,0
0.77434,1,0.015,0.015,0.5,0
0.78539,1,0.016,0.016,0.5,0
0.79644,1,0.017,0.017,0.5,0
0.80748,1,0.018,0.018,0.5,0
0.81853,1,0.019,0.019,0.5,0
0.82958,1,0.02,0.02,0.5,0
0.84063,1,0.021,0.021,0.5,0
0.85167,1,0.022,0.022,0.5,0
0.86272,1,0.023,0.023,0.5,0
0.87377,1,0.024,0.024,0.5,0
0.88482,1,0.025,0.025,0.5,0
0.89586,1,0.026,0.026,0.5,0
0.90691,1,0.027,0.027,0.5,0
0.91796,1,0.028,0.028,0.5,0
0.92901,1,0.029,0.029,0.5,0
0.94005,1,0.03,0.03,0.5,0
0.9511,1,0.031,0.031,0.5,0
0.96215,1,0.032,0.032,0.5,0
0.97319,1,0.033,0.033,0.5,0
0.98424,1,0.034,0.034,0.5,0
0.99529,1,0.035,0.035,0.5,0
1.0063,1,0.036,0.036,0.5,0
1.0174,1,0.037,0.037,0.5,0
1.0284,1,0.038,0.038,0.5,0
1.0395,1,0.039,0.039,0.5,0
1.0505,1,0.04,0.04,0.5,0
1.0616,1,0.041,0.041,0.5,0
1.0726,1,0.042,0.042,0.5,0
1.0837,1,0.043,0.043,0.5,0
1.0947,1,0.044,0.044,0.5,0
1.1058,1,0.045,0.045,0.5,0
1.1168,1,0.046,0.046,0.5,0
1.1279,1,0.047,0.047,0.5,0
1.1389,1,0.048,0.048,0.5,0
1.15,1,0.049,0.049,0.5,0
1.161,1,0.05,0.05,0.5,0
1.172,1,0.051,0.051,0.5,0
1.1831,1,0.052,0.052,0.5,0
1.1941,1,0.053,0.053,0.5,0
1.2052,1,0.054,0.054,0.5,0
1.2162,1,0.055,0.055,0.5,0
1.2273,1,0.056,0.056,0.5,0
1.2383,1,0.057,0.057,0.5,0
1.2494,1,0.058,0.058,0.5,0
1.2604,1,0.059,0.059,0.5,0
1.2715,1,0.06,0.06,0.5,0
1.2825,1,0.061,0.061,0.5,0
1.2936,1,0.062,0.062,0.5,0
1.3041,1,0.063,0.063,0.5,0
1.3121,1,0.064,0.064,0.5,0
1.32,1,0.065,0.065,0.5,0
1.328,1,0.066,0.066,0.5,0
1.336,1,0.067,0.067,0.5,0
1.344,1,0.068,0.068,0.5,0
