"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.12314,1,0,3.5,0,0
0.17795,1,0.003,3.5,0.003,0
0.23277,1,0.006,3.5,0.006,0
0.28758,1,0.009,3.5,0.009,0
0.3424,1,0.012,3.5,0.012,0
0.39721,1,0.015,3.5,0.015,0
0.45202,1,0.018,3.5,0.018,0
0.50684,1,0.021,3.5,0.021,0
0.56165,1,0.024,3.5,0.024,0
0.61646,1,0.027,3.5,0.027,0
0.67127,1,0.03,3.5,0.03,0
0.72607,1,0.033,3.5,0.033,0
0.78088,1,0.036,3.5,0.036,0
0.83569,1,0.039,3.5,0.039,0
0.89049,1,0.042,3.5,0.042,0
0.9453,1,0.045,3.5,0.045,0
1.0001,1,0.048,3.5,0.048,0
1.0549,1,0.051,3.5,0.051,0
1.1097,1,0.054,3.5,0.054,0
1.1645,1,0.057,3.5,0.057,0
1.2193,1,0.06,3.5,0.06,0
1.2741,1,0.063,3.5,0.063,0
1.3289,1,0.066,3.5,0.066,0
1.3837,1,0.069,3.5,0.069,0
1.4385,1,0.072,3.5,0.072,0
1.4933,1,0.075,3.5,0.075,0
1.5481,1,0.078,3.5,0.078,0
1.6029,1,0.081,3.5,0.081,0
1.6577,1,0.084,3.5,0.084,0
1.7125,1,0.087,3.5,0.087,0
1.7673,1,0.09,3.5,0.09,0
1.8221,1,0.093,3.5,0.093,0
1.8769,1,0.096,3.5,0.096,0
1.9317,1,0.099,3.5,0.099,0
1.9865,1,0.102,3.5,0.102,0
2.0412,1,0.105,3.5,0.105,0
2.096,1,0.108,3.5,0.108,0
2.1508,1,0.111,3.5,0.111,0
2.2056,1,0.114,3.5,0.114,0
2.2604,1,0.117,3.5,0.117,0
2.3152,1,0.12,3.5,0.12,0
2.37,1,0.123,3.5,0.123,0
2.4248,1,0.126,3.5,0.126,0
2.4795,1,0.129,3.5,0.129,0
2.5343,1,0.132,3.5,0.132,0
2.5891,1,0.135,3.5,0.135,0
2.6439,1,0.138,3.5,0.138,0
2.6987,1,0.141,3.5,0.141,0
2.7534,1,0.144,3.5,0.144,0
2.8082,1,0.147,3.5,0.147,0
2.863,1,0.15,3.5,0.15,0
2.9178,1,0.153,3.5,0.153,0
2.9726,1,0.156,3.5,0.156,0
3.0273,1,0.159,3.5,0.159,0
3.0821,1,0.162,3.5,0.162,0
3.1369,1,0.165,3.5,0.165,0
3.1917,1,0.168,3.5,0.168,0
3.2464,1,0.171,3.5,0.171,0
3.3012,1,0.174,3.5,0.174,0
3.356,1,0.177,3.5,0.177,0
3.4107,1,0.18,3.5,0.18,0
3.4748,1,0.183,3.5,0.183,0
3.5144,1,0.186,3.5,0.186,0
3.554,1,0.189,3.5,0.189,0
3.5936,1,0.192,3.5,0.192,0
3.6332,1,0.195,3.5,0.195,0
3.6728,1,0.198,3.5,0.198,0
3.7124,1,0.201,3.5,0.201,0
3.7521,1,0.204,3.5,0.204,0
3.7917,1,0.207,3.5,0.207,0
3.8313,1,0.21,3.5,0.21,0
3.871,1,0.213,3.5,0.213,0
3.9106,1,0.216,3.5,0.216,0
3.9502,1,0.219,3.5,0.219,0
3.9899,1,0.222,3.5,0.222,0
4.0295,1,0.225,3.5,0.225,0
4.0692,1,0.228,3.5,0.228,0
4.1088,1,0.231,3.5,0.231,0
4.1485,1,0.234,3.5,0.234,0
4.1882,1,0.237,3.5,0.237,0
4.2278,1,0.24,3.5,0.24,0
4.2675,1,0.243,3.5,0.243,0
4.3072,1,0.246,3.5,0.246,0
4.3469,1,0.249,3.5,0.249,0
4.3865,1,0.252,3.5,0.252,0
4.4262,1,0.255,3.5,0.255,0
4.4659,1,0.258,3.5,0.258,0
4.5056,1,0.261,3.5,0.261,0
4.5453,1,0.264,3.5,0.264,0
4.585,1,0.267,3.5,0.267,0
4.6247,1,0.27,3.5,0.27,0
4.6644,1,0.273,3.5,0.273,0
4.7041,1,0.276,3.5,0.276,0
4.7438,1,0.279,3.5,0.279,0
4.7835,1,0.282,3.5,0.282,0
4.8232,1,0.285,3.5,0.285,0
4.8629,1,0.288,3.5,0.288,0
4.9026,1,0.291,3.5,0.291,0
4.9423,1,0.294,3.5,0.294,0
4.982,1,0.297,3.5,0.297,0
5.0217,1,0.3,3.5,0.3,0
5.0615,1,0.303,3.5,0.303,0
5.1012,1,0.306,3.5,0.306,0
5.1409,1,0.309,3.5,0.309,0
5.1806,1,0.312,3.5,0.312,0
5.2203,1,0.315,3.5,0.315,0
5.2601,1,0.318,3.5,0.318,0
5.2998,1,0.321,3.5,0.321,0
5.3395,1,0.324,3.5,0.324,0
5.3793,1,0.327,3.5,0.327,0
5.419,1,0.33,3.5,0.33,0
5.4587,1,0.333,3.5,0.333,0
5.4985,1,0.336,3.5,0.336,0
5.5382,1,0.339,3.5,0.339,0
5.5779,1,0.342,3.5,0.342,0
5.6177,1,0.345,3.5,0.345,0
5.6519,1,0.348,3.5,0.348,0
5.6798,1,0.351,3.5,0.351,0
5.7076,1,0.354,3.5,0.354,0
5.7355,1,0.357,3.5,0.357,0
5.7633,1,0.36,3.5,0.36,0
5.7912,1,0.363,3.5,0.363,0
5.8191,1,0.366,3.5,0.366,0
5.8471,1,0.369,3.5,0.369,0
5.875,1,0.372,3.5,0.372,0
5.903,1,0.375,3.5,0.375,0
5.9309,1,0.378,3.5,0.378,0
5.9589,1,0.381,3.5,0.381,0
5.987,1,0.384,3.5,0.384,0
6.015,1,0.387,3.5,0.387,0
6.0431,1,0.39,3.5,0.39,0
6.0711,1,0.393,3.5,0.393,0
6.0992,1,0.396,3.5,0.396,0
6.1274,1,0.399,3.5,0.399,0
6.1555,1,0.402,3.5,0.402,0
