"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0034583,1,0,3.5,0,0
0.058778,1,0.003,3.5,0.003,0
0.1141,1,0.006,3.5,0.006,0
0.16941,1,0.009,3.5,0.009,0
0.22473,1,0.012,3.5,0.012,0
0.28005,1,0.015,3.5,0.015,0
0.33536,1,0.018,3.5,0.018,0
0.39068,1,0.021,3.5,0.021,0
0.44599,1,0.024,3.5,0.024,0
0.5013,1,0.027,3.5,0.027,0
0.55662,1,0.03,3.5,0.03,0
0.61193,1,0.033,3.5,0.033,0
0.66724,1,0.036,3.5,0.036,0
0.72255,1,0.039,3.5,0.039,0
0.77786,1,0.042,3.5,0.042,0
0.83317,1,0.045,3.5,0.045,0
0.88847,1,0.048,3.5,0.048,0
0.94378,1,0.051,3.5,0.051,0
0.99909,1,0.054,3.5,0.054,0
1.0544,1,0.057,3.5,0.057,0
1.1097,1,0.06,3.5,0.06,0
1.165,1,0.063,3.5,0.063,0
1.2203,1,0.066,3.5,0.066,0
1.2756,1,0.069,3.5,0.069,0
1.3309,1,0.072,3.5,0.072,0
1.3862,1,0.075,3.5,0.075,0
1.4415,1,0.078,3.5,0.078,0
1.4968,1,0.081,3.5,0.081,0
1.5521,1,0.084,3.5,0.084,0
1.6074,1,0.087,3.5,0.087,0
1.6627,1,0.09,3.5,0.09,0
1.718,1,0.093,3.5,0.093,0
1.7733,1,0.096,3.5,0.096,0
1.8286,1,0.099,3.5,0.099,0
1.8839,1,0.102,3.5,0.102,0
1.9392,1,0.105,3.5,0.105,0
1.9945,1,0.108,3.5,0.108,0
2.0497,1,0.111,3.5,0.111,0
2.105,1,0.114,3.5,0.114,0
2.1603,1,0.117,3.5,0.117,0
2.2156,1,0.12,3.5,0.12,0
2.2709,1,0.123,3.5,0.123,0
2.3262,1,0.126,3.5,0.126,0
2.3815,1,0.129,3.5,0.129,0
2.4368,1,0.132,3.5,0.132,0
2.492,1,0.135,3.5,0.135,0
2.5473,1,0.138,3.5,0.138,0
2.6026,1,0.141,3.5,0.141,0
2.6579,1,0.144,3.5,0.144,0
2.7132,1,0.147,3.5,0.147,0
2.7685,1,0.15,3.5,0.15,0
2.8237,1,0.153,3.5,0.153,0
2.879,1,0.156,3.5,0.156,0
2.9343,1,0.159,3.5,0.159,0
2.9896,1,0.162,3.5,0.162,0
3.0448,1,0.165,3.5,0.165,0
3.1001,1,0.168,3.5,0.168,0
3.1554,1,0.171,3.5,0.171,0
3.2107,1,0.174,3.5,0.174,0
3.2659,1,0.177,3.5,0.177,0
3.3212,1,0.18,3.5,0.18,0
3.3843,1,0.183,3.5,0.183,0
3.4243,1,0.186,3.5,0.186,0
3.4643,1,0.189,3.5,0.189,0
3.5043,1,0.192,3.5,0.192,0
3.5443,1,0.195,3.5,0.195,0
3.5843,1,0.198,3.5,0.198,0
3.6243,1,0.201,3.5,0.201,0
3.6643,1,0.204,3.5,0.204,0
3.7044,1,0.207,3.5,0.207,0
3.7444,1,0.21,3.5,0.21,0
3.7844,1,0.213,3.5,0.213,0
3.8245,1,0.216,3.5,0.216,0
3.8645,1,0.219,3.5,0.219,0
3.9045,1,0.222,3.5,0.222,0
3.9446,1,0.225,3.5,0.225,0
3.9847,1,0.228,3.5,0.228,0
4.0247,1,0.231,3.5,0.231,0
4.0648,1,0.234,3.5,0.234,0
4.1048,1,0.237,3.5,0.237,0
4.1449,1,0.24,3.5,0.24,0
4.185,1,0.243,3.5,0.243,0
4.225,1,0.246,3.5,0.246,0
4.2651,1,0.249,3.5,0.249,0
4.3052,1,0.252,3.5,0.252,0
4.3453,1,0.255,3.5,0.255,0
4.3854,1,0.258,3.5,0.258,0
4.4255,1,0.261,3.5,0.261,0
4.4656,1,0.264,3.5,0.264,0
4.5056,1,0.267,3.5,0.267,0
4.5457,1,0.27,3.5,0.27,0
4.5858,1,0.273,3.5,0.273,0
4.6259,1,0.276,3.5,0.276,0
4.666,1,0.279,3.5,0.279,0
4.7062,1,0.282,3.5,0.282,0
4.7463,1,0.285,3.5,0.285,0
4.7864,1,0.288,3.5,0.288,0
4.8265,1,0.291,3.5,0.291,0
4.8666,1,0.294,3.5,0.294,0
4.9067,1,0.297,3.5,0.297,0
4.9468,1,0.3,3.5,0.3,0
4.987,1,0.303,3.5,0.303,0
5.0271,1,0.306,3.5,0.306,0
5.0672,1,0.309,3.5,0.309,0
5.1073,1,0.312,3.5,0.312,0
5.1475,1,0.315,3.5,0.315,0
5.1876,1,0.318,3.5,0.318,0
5.2277,1,0.321,3.5,0.321,0
5.2679,1,0.324,3.5,0.324,0
5.308,1,0.327,3.5,0.327,0
5.3481,1,0.33,3.5,0.33,0
5.3883,1,0.333,3.5,0.333,0
5.4284,1,0.336,3.5,0.336,0
5.4686,1,0.339,3.5,0.339,0
5.5087,1,0.342,3.5,0.342,0
5.5489,1,0.345,3.5,0.345,0
5.5829,1,0.348,3.5,0.348,0
5.611,1,0.351,3.5,0.351,0
5.6392,1,0.354,3.5,0.354,0
5.6674,1,0.357,3.5,0.357,0
5.6955,1,0.36,3.5,0.36,0
5.7237,1,0.363,3.5,0.363,0
5.7519,1,0.366,3.5,0.366,0
5.7802,1,0.369,3.5,0.369,0
5.8084,1,0.372,3.5,0.372,0
5.8367,1,0.375,3.5,0.375,0
5.865,1,0.378,3.5,0.378,0
5.8933,1,0.381,3.5,0.381,0
5.9216,1,0.384,3.5,0.384,0
5.9499,1,0.387,3.5,0.387,0
5.9783,1,0.39,3.5,0.39,0
6.0067,1,0.393,3.5,0.393,0
6.0351,1,0.396,3.5,0.396,0
6.0635,1,0.399,3.5,0.399,0
