"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.01408,1,0,3.5,0,0
0.069604,1,0.003,3.5,0.003,0
0.12513,1,0.006,3.5,0.006,0
0.18065,1,0.009,3.5,0.009,0
0.23617,1,0.012,3.5,0.012,0
0.2917,1,0.015,3.5,0.015,0
0.34722,1,0.018,3.5,0.018,0
0.40274,1,0.021,3.5,0.021,0
0.45826,1,0.024,3.5,0.024,0
0.51378,1,0.027,3.5,0.027,0
0.5693,1,0.03,3.5,0.03,0
0.62482,1,0.033,3.5,0.033,0
0.68034,1,0.036,3.5,0.036,0
0.73586,1,0.039,3.5,0.039,0
0.79138,1,0.042,3.5,0.042,0
0.8469,1,0.045,3.5,0.045,0
0.90242,1,0.048,3.5,0.048,0
0.95793,1,0.051,3.5,0.051,0
1.0135,1,0.054,3.5,0.054,0
1.069,1,0.057,3.5,0.057,0
1.1245,1,0.06,3.5,0.06,0
1.18,1,0.063,3.5,0.063,0
1.2355,1,0.066,3.5,0.066,0
1.291,1,0.069,3.5,0.069,0
1.3465,1,0.072,3.5,0.072,0
1.4021,1,0.075,3.5,0.075,0
1.4576,1,0.078,3.5,0.078,0
1.5131,1,0.081,3.5,0.081,0
1.5686,1,0.084,3.5,0.084,0
1.6241,1,0.087,3.5,0.087,0
1.6796,1,0.09,3.5,0.09,0
1.7351,1,0.093,3.5,0.093,0
1.7907,1,0.096,3.5,0.096,0
1.8462,1,0.099,3.5,0.099,0
1.9017,1,0.102,3.5,0.102,0
1.9572,1,0.105,3.5,0.105,0
2.0127,1,0.108,3.5,0.108,0
2.0682,1,0.111,3.5,0.111,0
2.1237,1,0.114,3.5,0.114,0
2.1792,1,0.117,3.5,0.117,0
2.2347,1,0.12,3.5,0.12,0
2.2902,1,0.123,3.5,0.123,0
2.3458,1,0.126,3.5,0.126,0
2.4013,1,0.129,3.5,0.129,0
2.4568,1,0.132,3.5,0.132,0
2.5123,1,0.135,3.5,0.135,0
2.5678,1,0.138,3.5,0.138,0
2.6233,1,0.141,3.5,0.141,0
2.6788,1,0.144,3.5,0.144,0
2.7343,1,0.147,3.5,0.147,0
2.7898,1,0.15,3.5,0.15,0
2.8453,1,0.153,3.5,0.153,0
2.9008,1,0.156,3.5,0.156,0
2.9563,1,0.159,3.5,0.159,0
3.0118,1,0.162,3.5,0.162,0
3.0673,1,0.165,3.5,0.165,0
3.1228,1,0.168,3.5,0.168,0
3.1783,1,0.171,3.5,0.171,0
3.2338,1,0.174,3.5,0.174,0
3.2893,1,0.177,3.5,0.177,0
3.3448,1,0.18,3.5,0.18,0
3.3971,1,0.183,3.5,0.183,0
3.4379,1,0.186,3.5,0.186,0
3.4788,1,0.189,3.5,0.189,0
3.5196,1,0.192,3.5,0.192,0
3.5604,1,0.195,3.5,0.195,0
3.6012,1,0.198,3.5,0.198,0
3.642,1,0.201,3.5,0.201,0
3.6827,1,0.204,3.5,0.204,0
3.7235,1,0.207,3.5,0.207,0
3.7642,1,0.21,3.5,0.21,0
3.805,1,0.213,3.5,0.213,0
3.8457,1,0.216,3.5,0.216,0
3.8864,1,0.219,3.5,0.219,0
3.9272,1,0.222,3.5,0.222,0
3.9679,1,0.225,3.5,0.225,0
4.0086,1,0.228,3.5,0.228,0
4.0493,1,0.231,3.5,0.231,0
4.09,1,0.234,3.5,0.234,0
4.1306,1,0.237,3.5,0.237,0
4.1713,1,0.24,3.5,0.24,0
4.212,1,0.243,3.5,0.243,0
4.2526,1,0.246,3.5,0.246,0
4.2933,1,0.249,3.5,0.249,0
4.3339,1,0.252,3.5,0.252,0
4.3746,1,0.255,3.5,0.255,0
4.4152,1,0.258,3.5,0.258,0
4.4558,1,0.261,3.5,0.261,0
4.4965,1,0.264,3.5,0.264,0
4.5371,1,0.267,3.5,0.267,0
4.5777,1,0.27,3.5,0.27,0
4.6183,1,0.273,3.5,0.273,0
4.6589,1,0.276,3.5,0.276,0
4.6995,1,0.279,3.5,0.279,0
4.7401,1,0.282,3.5,0.282,0
4.7807,1,0.285,3.5,0.285,0
4.8213,1,0.288,3.5,0.288,0
4.8618,1,0.291,3.5,0.291,0
4.9024,1,0.294,3.5,0.294,0
4.943,1,0.297,3.5,0.297,0
4.9835,1,0.3,3.5,0.3,0
5.0241,1,0.303,3.5,0.303,0
5.0647,1,0.306,3.5,0.306,0
5.1052,1,0.309,3.5,0.309,0
