"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.1327,1,0,3.5,0,0
0.18776,1,0.003,3.5,0.003,0
0.24282,1,0.006,3.5,0.006,0
0.29787,1,0.009,3.5,0.009,0
0.35293,1,0.012,3.5,0.012,0
0.40799,1,0.015,3.5,0.015,0
0.46304,1,0.018,3.5,0.018,0
0.5181,1,0.021,3.5,0.021,0
0.57315,1,0.024,3.5,0.024,0
0.62821,1,0.027,3.5,0.027,0
0.68326,1,0.03,3.5,0.03,0
0.73832,1,0.033,3.5,0.033,0
0.79337,1,0.036,3.5,0.036,0
0.84842,1,0.039,3.5,0.039,0
0.90348,1,0.042,3.5,0.042,0
0.95853,1,0.045,3.5,0.045,0
1.0136,1,0.048,3.5,0.048,0
1.0686,1,0.051,3.5,0.051,0
1.1237,1,0.054,3.5,0.054,0
1.1787,1,0.057,3.5,0.057,0
1.2338,1,0.06,3.5,0.06,0
1.2888,1,0.063,3.5,0.063,0
1.3439,1,0.066,3.5,0.066,0
1.3989,1,0.069,3.5,0.069,0
1.454,1,0.072,3.5,0.072,0
1.509,1,0.075,3.5,0.075,0
1.5641,1,0.078,3.5,0.078,0
1.6191,1,0.081,3.5,0.081,0
1.6742,1,0.084,3.5,0.084,0
1.7292,1,0.087,3.5,0.087,0
1.7843,1,0.09,3.5,0.09,0
1.8393,1,0.093,3.5,0.093,0
1.8944,1,0.096,3.5,0.096,0
1.9494,1,0.099,3.5,0.099,0
2.0044,1,0.102,3.5,0.102,0
2.0595,1,0.105,3.5,0.105,0
2.1145,1,0.108,3.5,0.108,0
2.1696,1,0.111,3.5,0.111,0
2.2246,1,0.114,3.5,0.114,0
2.2797,1,0.117,3.5,0.117,0
2.3347,1,0.12,3.5,0.12,0
2.3897,1,0.123,3.5,0.123,0
2.4448,1,0.126,3.5,0.126,0
2.4998,1,0.129,3.5,0.129,0
2.5549,1,0.132,3.5,0.132,0
2.6099,1,0.135,3.5,0.135,0
2.6649,1,0.138,3.5,0.138,0
2.72,1,0.141,3.5,0.141,0
2.775,1,0.144,3.5,0.144,0
2.8301,1,0.147,3.5,0.147,0
2.8851,1,0.15,3.5,0.15,0
2.9401,1,0.153,3.5,0.153,0
2.9952,1,0.156,3.5,0.156,0
3.0502,1,0.159,3.5,0.159,0
3.1053,1,0.162,3.5,0.162,0
3.1603,1,0.165,3.5,0.165,0
3.2153,1,0.168,3.5,0.168,0
3.2704,1,0.171,3.5,0.171,0
3.3254,1,0.174,3.5,0.174,0
3.3804,1,0.177,3.5,0.177,0
3.4355,1,0.18,3.5,0.18,0
3.4872,1,0.183,3.5,0.183,0
3.5277,1,0.186,3.5,0.186,0
3.5681,1,0.189,3.5,0.189,0
3.6085,1,0.192,3.5,0.192,0
3.6489,1,0.195,3.5,0.195,0
3.6893,1,0.198,3.5,0.198,0
3.7297,1,0.201,3.5,0.201,0
3.7701,1,0.204,3.5,0.204,0
3.8105,1,0.207,3.5,0.207,0
3.8508,1,0.21,3.5,0.21,0
3.8912,1,0.213,3.5,0.213,0
3.9315,1,0.216,3.5,0.216,0
3.9718,1,0.219,3.5,0.219,0
4.0122,1,0.222,3.5,0.222,0
4.0525,1,0.225,3.5,0.225,0
4.0928,1,0.228,3.5,0.228,0
4.1331,1,0.231,3.5,0.231,0
4.1734,1,0.234,3.5,0.234,0
4.2137,1,0.237,3.5,0.237,0
4.2539,1,0.24,3.5,0.24,0
4.2942,1,0.243,3.5,0.243,0
4.3345,1,0.246,3.5,0.246,0
4.3747,1,0.249,3.5,0.249,0
4.415,1,0.252,3.5,0.252,0
4.4552,1,0.255,3.5,0.255,0
4.4954,1,0.258,3.5,0.258,0
4.5357,1,0.261,3.5,0.261,0
4.5759,1,0.264,3.5,0.264,0
4.6161,1,0.267,3.5,0.267,0
4.6563,1,0.27,3.5,0.27,0
4.6965,1,0.273,3.5,0.273,0
4.7367,1,0.276,3.5,0.276,0
4.7769,1,0.279,3.5,0.279,0
4.8171,1,0.282,3.5,0.282,0
4.8573,1,0.285,3.5,0.285,0
4.8975,1,0.288,3.5,0.288,0
4.9377,1,0.291,3.5,0.291,0
4.9778,1,0.294,3.5,0.294,0
5.018,1,0.297,3.5,0.297,0
5.0582,1,0.3,3.5,0.3,0
5.0983,1,0.303,3.5,0.303,0
5.1385,1,0.306,3.5,0.306,0
5.1786,1,0.309,3.5,0.309,0
5.2188,1,0.312,3.5,0.312,0
5.2589,1,0.315,3.5,0.315,0
5.2991,1,0.318,3.5,0.318,0
5.3392,1,0.321,3.5,0.321,0
5.3793,1,0.324,3.5,0.324,0
5.4195,1,0.327,3.5,0.327,0
5.4596,1,0.33,3.5,0.33,0
5.4997,1,0.333,3.5,0.333,0
5.5398,1,0.336,3.5,0.336,0
5.58,1,0.339,3.5,0.339,0
5.6201,1,0.342,3.5,0.342,0
5.6602,1,0.345,3.5,0.345,0
5.693,1,0.348,3.5,0.348,0
5.7218,1,0.351,3.5,0.351,0
5.7506,1,0.354,3.5,0.354,0
5.7794,1,0.357,3.5,0.357,0
5.8082,1,0.36,3.5,0.36,0
5.837,1,0.363,3.5,0.363,0
5.8658,1,0.366,3.5,0.366,0
5.8946,1,0.369,3.5,0.369,0
5.9234,1,0.372,3.5,0.372,0
5.9522,1,0.375,3.5,0.375,0
5.9811,1,0.378,3.5,0.378,0
6.01,1,0.381,3.5,0.381,0
6.0388,1,0.384,3.5,0.384,0
6.0677,1,0.387,3.5,0.387,0
6.0966,1,0.39,3.5,0.39,0
6.1255,1,0.393,3.5,0.393,0
6.1544,1,0.396,3.5,0.396,0
6.1833,1,0.399,3.5,0.399,0
6.2123,1,0.402,3.5,0.402,0
6.2412,1,0.405,3.5,0.405,0
6.2702,1,0.408,3.5,0.408,0
6.2992,1,0.411,3.5,0.411,0
6.3281,1,0.414,3.5,0.414,0
6.3571,1,0.417,3.5,0.417,0
6.3862,1,0.42,3.5,0.42,0
6.4152,1,0.423,3.5,0.423,0
6.4442,1,0.426,3.5,0.426,0
6.4733,1,0.429,3.5,0.429,0
6.5024,1,0.432,3.5,0.432,0
6.5315,1,0.435,3.5,0.435,0
6.5606,1,0.438,3.5,0.438,0
6.5897,1,0.441,3.5,0.441,0
6.6189,1,0.444,3.5,0.444,0
6.6481,1,0.447,3.5,0.447,0
6.6773,1,0.45,3.5,0.45,0
6.7065,1,0.453,3.5,0.453,0
6.7357,1,0.456,3.5,0.456,0
6.7649,1,0.459,3.5,0.459,0
6.7942,1,0.462,3.5,0.462,0
6.8235,1,0.465,3.5,0.465,0
6.8528,1,0.468,3.5,0.468,0
6.8822,1,0.471,3.5,0.471,0
6.9115,1,0.474,3.5,0.474,0
6.9409,1,0.477,3.5,0.477,0
6.9703,1,0.48,3.5,0.48,0
6.9998,1,0.483,3.5,0.483,0
7.0292,1,0.486,3.5,0.486,0
nan,0,0.489,3.5,0.489,0
nan,0,0.492,3.5,0.492,0
7.117,1,0.495,3.5,0.495,0
7.1462,1,0.498,3.5,0.498,0
7.1754,1,0.501,3.5,0.501,0
7.2045,1,0.504,3.5,0.504,0
7.2335,1,0.507,3.5,0.507,0
7.2625,1,0.51,3.5,0.51,0
7.2915,1,0.513,3.5,0.513,0
7.3204,1,0.516,3.5,0.516,0
7.3493,1,0.519,3.5,0.519,0
7.3782,1,0.522,3.5,0.522,0
7.407,1,0.525,3.5,0.525,0
7.4358,1,0.528,3.5,0.528,0
7.4645,1,0.531,3.5,0.531,0
7.4932,1,0.534,3.5,0.534,0
7.5218,1,0.537,3.5,0.537,0
7.5504,1,0.54,3.5,0.54,0
7.5789,1,0.543,3.5,0.543,0
7.6074,1,0.546,3.5,0.546,0
7.6358,1,0.549,3.5,0.549,0
7.6642,1,0.552,3.5,0.552,0
7.6925,1,0.555,3.5,0.555,0
7.7208,1,0.558,3.5,0.558,0
7.7491,1,0.561,3.5,0.561,0
7.7772,1,0.564,3.5,0.564,0
7.8054,1,0.567,3.5,0.567,0
7.8334,1,0.57,3.5,0.57,0
7.8615,1,0.573,3.5,0.573,0
7.8842,1,0.576,3.5,0.576,0
7.9024,1,0.579,3.5,0.579,0
7.9206,1,0.582,3.5,0.582,0
7.9389,1,0.585,3.5,0.585,0
7.9573,1,0.588,3.5,0.588,0
7.9757,1,0.591,3.5,0.591,0
7.9941,1,0.594,3.5,0.594,0
8.0126,1,0.597,3.5,0.597,0
8.0311,1,0.6,3.5,0.6,0
8.0497,1,0.603,3.5,0.603,0
8.0683,1,0.606,3.5,0.606,0
8.0869,1,0.609,3.5,0.609,0
8.1056,1,0.612,3.5,0.612,0
8.1244,1,0.615,3.5,0.615,0
8.1432,1,0.618,3.5,0.618,0
8.162,1,0.621,3.5,0.621,0
8.1808,1,0.624,3.5,0.624,0
8.1998,1,0.627,3.5,0.627,0
8.2187,1,0.63,3.5,0.63,0
8.2377,1,0.633,3.5,0.633,0
8.2567,1,0.636,3.5,0.636,0
8.2758,1,0.639,3.5,0.639,0
8.2949,1,0.642,3.5,0.642,0
8.314,1,0.645,3.5,0.645,0
8.3332,1,0.648,3.5,0.648,0
8.3524,1,0.651,3.5,0.651,0
8.3716,1,0.654,3.5,0.654,0
8.3909,1,0.657,3.5,0.657,0
8.4102,1,0.66,3.5,0.66,0
8.4296,1,0.663,3.5,0.663,0
8.4489,1,0.666,3.5,0.666,0
8.4683,1,0.669,3.5,0.669,0
8.4878,1,0.672,3.5,0.672,0
8.5073,1,0.675,3.5,0.675,0
8.5268,1,0.678,3.5,0.678,0
8.5463,1,0.681,3.5,0.681,0
8.5659,1,0.684,3.5,0.684,0
8.5855,1,0.687,3.5,0.687,0
8.6051,1,0.69,3.5,0.69,0
8.6247,1,0.693,3.5,0.693,0
8.6444,1,0.696,3.5,0.696,0
8.6641,1,0.699,3.5,0.699,0
8.6838,1,0.702,3.5,0.702,0
8.7036,1,0.705,3.5,0.705,0
8.7234,1,0.708,3.5,0.708,0
