"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0013618,1,0,3.5,0,0
0.056941,1,0.003,3.5,0.003,0
0.11252,1,0.006,3.5,0.006,0
0.1681,1,0.009,3.5,0.009,0
0.22368,1,0.012,3.5,0.012,0
0.27925,1,0.015,3.5,0.015,0
0.33483,1,0.018,3.5,0.018,0
0.39041,1,0.021,3.5,0.021,0
0.44598,1,0.024,3.5,0.024,0
0.50156,1,0.027,3.5,0.027,0
0.55714,1,0.03,3.5,0.03,0
0.61271,1,0.033,3.5,0.033,0
0.66829,1,0.036,3.5,0.036,0
0.72386,1,0.039,3.5,0.039,0
0.77944,1,0.042,3.5,0.042,0
0.83501,1,0.045,3.5,0.045,0
0.89058,1,0.048,3.5,0.048,0
0.94616,1,0.051,3.5,0.051,0
1.0017,1,0.054,3.5,0.054,0
1.0573,1,0.057,3.5,0.057,0
1.1129,1,0.06,3.5,0.06,0
1.1684,1,0.063,3.5,0.063,0
1.224,1,0.066,3.5,0.066,0
1.2796,1,0.069,3.5,0.069,0
1.3352,1,0.072,3.5,0.072,0
1.3907,1,0.075,3.5,0.075,0
1.4463,1,0.078,3.5,0.078,0
1.5019,1,0.081,3.5,0.081,0
1.5574,1,0.084,3.5,0.084,0
1.613,1,0.087,3.5,0.087,0
1.6686,1,0.09,3.5,0.09,0
1.7241,1,0.093,3.5,0.093,0
1.7797,1,0.096,3.5,0.096,0
1.8353,1,0.099,3.5,0.099,0
1.8908,1,0.102,3.5,0.102,0
1.9464,1,0.105,3.5,0.105,0
2.002,1,0.108,3.5,0.108,0
2.0575,1,0.111,3.5,0.111,0
2.1131,1,0.114,3.5,0.114,0
2.1687,1,0.117,3.5,0.117,0
2.2242,1,0.12,3.5,0.12,0
2.2798,1,0.123,3.5,0.123,0
2.3354,1,0.126,3.5,0.126,0
2.3909,1,0.129,3.5,0.129,0
2.4465,1,0.132,3.5,0.132,0
2.5021,1,0.135,3.5,0.135,0
2.5576,1,0.138,3.5,0.138,0
2.6132,1,0.141,3.5,0.141,0
2.6687,1,0.144,3.5,0.144,0
2.7243,1,0.147,3.5,0.147,0
2.7799,1,0.15,3.5,0.15,0
2.8354,1,0.153,3.5,0.153,0
2.891,1,0.156,3.5,0.156,0
2.9465,1,0.159,3.5,0.159,0
3.0021,1,0.162,3.5,0.162,0
3.0577,1,0.165,3.5,0.165,0
3.1132,1,0.168,3.5,0.168,0
3.1688,1,0.171,3.5,0.171,0
3.2243,1,0.174,3.5,0.174,0
3.2799,1,0.177,3.5,0.177,0
3.3355,1,0.18,3.5,0.18,0
3.3877,1,0.183,3.5,0.183,0
3.4286,1,0.186,3.5,0.186,0
3.4695,1,0.189,3.5,0.189,0
3.5103,1,0.192,3.5,0.192,0
3.5512,1,0.195,3.5,0.195,0
3.592,1,0.198,3.5,0.198,0
3.6328,1,0.201,3.5,0.201,0
3.6736,1,0.204,3.5,0.204,0
3.7144,1,0.207,3.5,0.207,0
3.7552,1,0.21,3.5,0.21,0
3.796,1,0.213,3.5,0.213,0
3.8368,1,0.216,3.5,0.216,0
3.8776,1,0.219,3.5,0.219,0
3.9183,1,0.222,3.5,0.222,0
3.9591,1,0.225,3.5,0.225,0
3.9998,1,0.228,3.5,0.228,0
4.0406,1,0.231,3.5,0.231,0
4.0813,1,0.234,3.5,0.234,0
4.122,1,0.237,3.5,0.237,0
4.1627,1,0.24,3.5,0.24,0
4.2034,1,0.243,3.5,0.243,0
4.2441,1,0.246,3.5,0.246,0
4.2848,1,0.249,3.5,0.249,0
4.3255,1,0.252,3.5,0.252,0
4.3662,1,0.255,3.5,0.255,0
4.4069,1,0.258,3.5,0.258,0
4.4476,1,0.261,3.5,0.261,0
4.4882,1,0.264,3.5,0.264,0
4.5289,1,0.267,3.5,0.267,0
4.5695,1,0.27,3.5,0.27,0
4.6102,1,0.273,3.5,0.273,0
4.6508,1,0.276,3.5,0.276,0
4.6915,1,0.279,3.5,0.279,0
4.7321,1,0.282,3.5,0.282,0
4.7727,1,0.285,3.5,0.285,0
4.8133,1,0.288,3.5,0.288,0
4.854,1,0.291,3.5,0.291,0
4.8946,1,0.294,3.5,0.294,0
4.9352,1,0.297,3.5,0.297,0
4.9758,1,0.3,3.5,0.3,0
5.0164,1,0.303,3.5,0.303,0
5.057,1,0.306,3.5,0.306,0
5.0976,1,0.309,3.5,0.309,0
