"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.013584,1,0,3.5,0,0
0.069111,1,0.003,3.5,0.003,0
0.12464,1,0.006,3.5,0.006,0
0.18016,1,0.009,3.5,0.009,0
0.23569,1,0.012,3.5,0.012,0
0.29122,1,0.015,3.5,0.015,0
0.34674,1,0.018,3.5,0.018,0
0.40227,1,0.021,3.5,0.021,0
0.45779,1,0.024,3.5,0.024,0
0.51332,1,0.027,3.5,0.027,0
0.56884,1,0.03,3.5,0.03,0
0.62436,1,0.033,3.5,0.033,0
0.67989,1,0.036,3.5,0.036,0
0.73541,1,0.039,3.5,0.039,0
0.79093,1,0.042,3.5,0.042,0
0.84645,1,0.045,3.5,0.045,0
0.90197,1,0.048,3.5,0.048,0
0.95749,1,0.051,3.5,0.051,0
1.013,1,0.054,3.5,0.054,0
1.0685,1,0.057,3.5,0.057,0
1.1241,1,0.06,3.5,0.06,0
1.1796,1,0.063,3.5,0.063,0
1.2351,1,0.066,3.5,0.066,0
1.2906,1,0.069,3.5,0.069,0
1.3461,1,0.072,3.5,0.072,0
1.4017,1,0.075,3.5,0.075,0
1.4572,1,0.078,3.5,0.078,0
1.5127,1,0.081,3.5,0.081,0
1.5682,1,0.084,3.5,0.084,0
1.6237,1,0.087,3.5,0.087,0
1.6792,1,0.09,3.5,0.09,0
1.7348,1,0.093,3.5,0.093,0
1.7903,1,0.096,3.5,0.096,0
1.8458,1,0.099,3.5,0.099,0
1.9013,1,0.102,3.5,0.102,0
1.9568,1,0.105,3.5,0.105,0
2.0123,1,0.108,3.5,0.108,0
2.0678,1,0.111,3.5,0.111,0
2.1234,1,0.114,3.5,0.114,0
2.1789,1,0.117,3.5,0.117,0
2.2344,1,0.12,3.5,0.12,0
2.2899,1,0.123,3.5,0.123,0
2.3454,1,0.126,3.5,0.126,0
2.4009,1,0.129,3.5,0.129,0
2.4564,1,0.132,3.5,0.132,0
2.5119,1,0.135,3.5,0.135,0
2.5674,1,0.138,3.5,0.138,0
2.623,1,0.141,3.5,0.141,0
2.6785,1,0.144,3.5,0.144,0
2.734,1,0.147,3.5,0.147,0
2.7895,1,0.15,3.5,0.15,0
2.845,1,0.153,3.5,0.153,0
2.9005,1,0.156,3.5,0.156,0
2.956,1,0.159,3.5,0.159,0
3.0115,1,0.162,3.5,0.162,0
3.067,1,0.165,3.5,0.165,0
3.1225,1,0.168,3.5,0.168,0
3.178,1,0.171,3.5,0.171,0
3.2335,1,0.174,3.5,0.174,0
3.289,1,0.177,3.5,0.177,0
3.3446,1,0.18,3.5,0.18,0
3.3968,1,0.183,3.5,0.183,0
3.4376,1,0.186,3.5,0.186,0
3.4784,1,0.189,3.5,0.189,0
3.5193,1,0.192,3.5,0.192,0
3.5601,1,0.195,3.5,0.195,0
3.6009,1,0.198,3.5,0.198,0
3.6416,1,0.201,3.5,0.201,0
3.6824,1,0.204,3.5,0.204,0
3.7232,1,0.207,3.5,0.207,0
3.7639,1,0.21,3.5,0.21,0
3.8047,1,0.213,3.5,0.213,0
3.8454,1,0.216,3.5,0.216,0
3.8861,1,0.219,3.5,0.219,0
3.9269,1,0.222,3.5,0.222,0
3.9676,1,0.225,3.5,0.225,0
4.0083,1,0.228,3.5,0.228,0
4.049,1,0.231,3.5,0.231,0
4.0897,1,0.234,3.5,0.234,0
4.1303,1,0.237,3.5,0.237,0
4.171,1,0.24,3.5,0.24,0
4.2117,1,0.243,3.5,0.243,0
4.2523,1,0.246,3.5,0.246,0
4.293,1,0.249,3.5,0.249,0
4.3336,1,0.252,3.5,0.252,0
4.3743,1,0.255,3.5,0.255,0
4.4149,1,0.258,3.5,0.258,0
4.4556,1,0.261,3.5,0.261,0
4.4962,1,0.264,3.5,0.264,0
4.5368,1,0.267,3.5,0.267,0
4.5774,1,0.27,3.5,0.27,0
4.618,1,0.273,3.5,0.273,0
4.6586,1,0.276,3.5,0.276,0
4.6992,1,0.279,3.5,0.279,0
4.7398,1,0.282,3.5,0.282,0
4.7804,1,0.285,3.5,0.285,0
4.821,1,0.288,3.5,0.288,0
4.8616,1,0.291,3.5,0.291,0
4.9021,1,0.294,3.5,0.294,0
4.9427,1,0.297,3.5,0.297,0
4.9833,1,0.3,3.5,0.3,0
5.0238,1,0.303,3.5,0.303,0
5.0644,1,0.306,3.5,0.306,0
5.105,1,0.309,3.5,0.309,0
5.1455,1,0.312,3.5,0.312,0
5.186,1,0.315,3.5,0.315,0
5.2266,1,0.318,3.5,0.318,0
5.2671,1,0.321,3.5,0.321,0
5.3077,1,0.324,3.5,0.324,0
5.3482,1,0.327,3.5,0.327,0
5.3887,1,0.33,3.5,0.33,0
5.4292,1,0.333,3.5,0.333,0
5.4698,1,0.336,3.5,0.336,0
5.5103,1,0.339,3.5,0.339,0
5.5508,1,0.342,3.5,0.342,0
5.5913,1,0.345,3.5,0.345,0
5.6245,1,0.348,3.5,0.348,0
5.6536,1,0.351,3.5,0.351,0
5.6826,1,0.354,3.5,0.354,0
5.7117,1,0.357,3.5,0.357,0
5.7408,1,0.36,3.5,0.36,0
5.7699,1,0.363,3.5,0.363,0
5.799,1,0.366,3.5,0.366,0
5.8281,1,0.369,3.5,0.369,0
5.8572,1,0.372,3.5,0.372,0
5.8864,1,0.375,3.5,0.375,0
5.9155,1,0.378,3.5,0.378,0
5.9447,1,0.381,3.5,0.381,0
5.9738,1,0.384,3.5,0.384,0
6.003,1,0.387,3.5,0.387,0
6.0322,1,0.39,3.5,0.39,0
6.0614,1,0.393,3.5,0.393,0
6.0906,1,0.396,3.5,0.396,0
6.1198,1,0.399,3.5,0.399,0
6.149,1,0.402,3.5,0.402,0
6.1782,1,0.405,3.5,0.405,0
6.2075,1,0.408,3.5,0.408,0
6.2368,1,0.411,3.5,0.411,0
6.266,1,0.414,3.5,0.414,0
6.2953,1,0.417,3.5,0.417,0
6.3246,1,0.42,3.5,0.42,0
6.354,1,0.423,3.5,0.423,0
6.3833,1,0.426,3.5,0.426,0
6.4127,1,0.429,3.5,0.429,0
6.442,1,0.432,3.5,0.432,0
6.4714,1,0.435,3.5,0.435,0
6.5008,1,0.438,3.5,0.438,0
6.5302,1,0.441,3.5,0.441,0
6.5597,1,0.444,3.5,0.444,0
6.5891,1,0.447,3.5,0.447,0
6.6186,1,0.45,3.5,0.45,0
6.6481,1,0.453,3.5,0.453,0
6.6776,1,0.456,3.5,0.456,0
6.7071,1,0.459,3.5,0.459,0
6.7367,1,0.462,3.5,0.462,0
6.7663,1,0.465,3.5,0.465,0
6.7959,1,0.468,3.5,0.468,0
6.8255,1,0.471,3.5,0.471,0
6.8551,1,0.474,3.5,0.474,0
6.8848,1,0.477,3.5,0.477,0
6.9145,1,0.48,3.5,0.48,0
6.9442,1,0.483,3.5,0.483,0
6.974,1,0.486,3.5,0.486,0
nan,0,0.489,3.5,0.489,0
nan,0,0.492,3.5,0.492,0
7.0627,1,0.495,3.5,0.495,0
7.0922,1,0.498,3.5,0.498,0
7.1216,1,0.501,3.5,0.501,0
7.151,1,0.504,3.5,0.504,0
7.1804,1,0.507,3.5,0.507,0
7.2097,1,0.51,3.5,0.51,0
7.239,1,0.513,3.5,0.513,0
7.2682,1,0.516,3.5,0.516,0
7.2974,1,0.519,3.5,0.519,0
7.3265,1,0.522,3.5,0.522,0
7.3556,1,0.525,3.5,0.525,0
7.3847,1,0.528,3.5,0.528,0
7.4137,1,0.531,3.5,0.531,0
7.4427,1,0.534,3.5,0.534,0
7.4716,1,0.537,3.5,0.537,0
7.5005,1,0.54,3.5,0.54,0
7.5293,1,0.543,3.5,0.543,0
7.5581,1,0.546,3.5,0.546,0
7.5868,1,0.549,3.5,0.549,0
7.6155,1,0.552,3.5,0.552,0
7.6441,1,0.555,3.5,0.555,0
7.6727,1,0.558,3.5,0.558,0
7.7012,1,0.561,3.5,0.561,0
7.7297,1,0.564,3.5,0.564,0
7.7581,1,0.567,3.5,0.567,0
7.7865,1,0.57,3.5,0.57,0
7.8148,1,0.573,3.5,0.573,0
7.8377,1,0.576,3.5,0.576,0
7.8561,1,0.579,3.5,0.579,0
7.8745,1,0.582,3.5,0.582,0
7.893,1,0.585,3.5,0.585,0
7.9116,1,0.588,3.5,0.588,0
7.9301,1,0.591,3.5,0.591,0
7.9488,1,0.594,3.5,0.594,0
7.9674,1,0.597,3.5,0.597,0
7.9861,1,0.6,3.5,0.6,0
8.0049,1,0.603,3.5,0.603,0
8.0237,1,0.606,3.5,0.606,0
8.0426,1,0.609,3.5,0.609,0
8.0615,1,0.612,3.5,0.612,0
8.0804,1,0.615,3.5,0.615,0
8.0994,1,0.618,3.5,0.618,0
8.1184,1,0.621,3.5,0.621,0
8.1374,1,0.624,3.5,0.624,0
8.1565,1,0.627,3.5,0.627,0
